rating,keyword,relevance,bucket
1, grape seed oil, 0.820381, 0
1, body scrub, 0.656736, 0
1, overpriced branded company, 0.943236, 1
1, scotsman, 0.343566, 1
1, rip, 0.320949, 2
1, clients, 0.274861, 2
1, spa therapist, 0.58865, 7
3, fancy gin, 0.719536, 0
3, here.Ah Edinburgh, 0.706857, 0
3, dark brown theme, 0.993234, 1
3, visits, 0.545743, 1
3, bit downhill, 0.740301, 2
3, new lick, 0.734574, 2
3, swish bar, 0.726052, 3
3, favourite bars, 0.723345, 3
3, Christmas lunch, 0.850931, 6
3, George St, 0.746305, 6
3, interior layout, 0.695781, 7
3, cocktails, 0.55627, 7
3, great atmosphere, 0.743158, 8
3, effort, 0.543797, 8
3, Ambience, 0.557116, 9
4, nice relaxed cocktail, 0.701262, 0
4, cut crust-less sandwiches, 0.67348, 0
4, old newspaper business, 0.63457, 1
4, Scotsman version, 0.637579, 2
4, afternoon teas, 0.633395, 2
4, tea orders, 0.69213, 3
4, Earl Grey Yelpers, 0.643337, 3
4, large group, 0.665125, 6
4, mini cakes, 0.662649, 6
4, afternoon tea, 0.949013, 7
4, Scotsman Hotel restaurant, 0.740652, 7
4, Jasmine green tea, 0.698168, 8
4, Edinburgh Breakfast tea, 0.692547, 8
4, lovely dark wood, 0.714439, 9
4, nice big banquet, 0.680137, 9
5, North Bridge Brasserie, 0.983993, 0
5, star boutique hotel, 0.770122, 0
5, price range, 0.625659, 2
5, gluten free tray, 0.769494, 3
5, apparent reason, 0.647687, 3
5, Scotsman Hotel, 0.764593, 4
5, rooms large rooms, 0.737503, 6
5, cheese plate dessert, 0.71457, 6
5, gluten free option, 0.959961, 7
5, husband, 0.714629, 7
5, large lovely bathroom, 0.728309, 8
5, premium hotel, 0.650626, 8
5, new town attractions, 0.733192, 9
5, traditional continental breakfast, 0.723576, 9
