rating, keyword, relevance, bucket
1, private party, 0.535179, 0
1, similar problems, 0.529567, 0
1, crappy dive bar, 0.78305, 1
1, openly sniffing coke, 0.741626, 1
1, NEGATIVE star rating, 0.712658, 2
1, Jitter, 0.600585, 2
1, white friends, 0.968033, 3
1, raggedy old house, 0.733075, 3
1, exercise futility, 0.519451, 6
1, different times, 0.50935, 6
1, fairly friendly people, 0.689098, 8
1, decent jukebox, 0.521077, 9
1, pool table, 0.517271, 9
3, dance club setting, 0.879155, 0
3, gay bar, 0.633594, 0
3, gay bars, 0.671444, 1
3, plane, 0.375709, 1
3, White Trash Bar, 0.921119, 2
3, drinks, 0.475622, 2
3, drink, 0.465007, 3
3, tumble, 0.377874, 3
3, people, 0.428593, 5
3, Music, 0.362892, 6
3, news, 0.362745, 6
3, simple dive bar, 0.868543, 7
3, dancer dancing, 0.636581, 7
3, Asian markets, 0.692945, 8
3, strip district, 0.691352, 8
4, dive gay bar, 0.898278, 0
4, gay guys, 0.730826, 0
4, cheap drinks, 0.987683, 1
4, ridiculously small bathrooms, 0.877252, 1
4, divey gay bar, 0.86968, 2
4, Dive bar atmosphere, 0.867743, 2
4, neat little bar, 0.881703, 3
4, laid-back bar, 0.73548, 3
4, dance floor, 0.996884, 4
4, Nude male dancers, 0.846716, 4
4, good time, 0.859143, 5
4, beer, 0.567254, 5
4, island iced teas, 0.880431, 6
4, Sunday nights, 0.699945, 6
4, Real Luck, 0.894313, 7
4, Free food daily, 0.873976, 7
4, Great jute box, 0.900627, 8
4, awesome jukebox machine, 0.834247, 8
5, dive bars, 0.538432, 0
5, strong/cheap drinks, 0.502565, 0
5, blah blah blah, 0.968316, 1
5, crap, 0.361093, 1
5, Naked dancers, 0.512362, 2
5, adjacent urinal, 0.510883, 2
5, Strong cheap drinks, 0.691504, 3
5, stray dogs, 0.489741, 3
5, bit, 0.339491, 6
5, group, 0.337991, 6
5, Friendly strippers, 0.522593, 7
5, best bar, 0.484897, 7
5, iron fist, 0.498338, 8
5, great night, 0.486179, 8
5, happy place, 0.510048, 9
