rating, keyword, relevance, bucket
1, Absolutely horrible place, 0.984742, 0
1, bare bones establishment, 0.889943, 0
1, hell hole, 0.701364, 1
1, goth scene, 0.69287, 1
1, goth night, 0.728168, 2
1, Snakes, 0.387919, 2
1, drink, 0.380976, 4
1, majority, 0.380125, 6
1, entire nightclub, 0.715376, 7
1, better DJ, 0.658814, 8
1, better scene, 0.629158, 8
2, industrial type music, 0.94203, 0
2, decent time, 0.777756, 0
2, people, 0.582458, 2
2, OMG, 0.442585, 2
2, large dance floor, 0.994797, 3
2, emo/goth rant, 0.810133, 3
2, cheaper drinks, 0.815458, 7
2, black eyeliner, 0.803262, 7
3, Club Downtown, 0.840854, 0
3, simple black knee, 0.827798, 0
3, drink specials, 0.739625, 1
3, cover charge, 0.728845, 1
3, decent goth/industrial club, 0.886265, 3
3, night Gothic Industrial, 0.882896, 3
3, club, 0.914464, 5
3, music, 0.748794, 5
3, good time, 0.852295, 6
3, small VIP lounge, 0.818409, 6
3, Le Homme, 0.730351, 7
3, Saturday night, 0.72882, 7
3, fun little spot, 0.821426, 8
3, boot-stomping night, 0.748095, 8
3, Luckie Maounds, 0.728834, 9
3, past kind, 0.723732, 9
4, new stuff, 0.605874, 0
4, different type, 0.601755, 0
4, predominently poser crowd, 0.92369, 1
4, goth club, 0.634438, 1
4, harder stuff, 0.638906, 2
4, KMFDM, 0.380087, 2
4, please-dont-wear-that Corset Girls, 0.887965, 3
4, expensive drinks, 0.702699, 3
4, place, 0.501671, 4
4, scene, 0.42895, 4
4, pretty hot environment, 0.900836, 6
4, above-average decor, 0.6454, 6
4, music selections, 0.617927, 7
4, pulsating, 0.389752, 7
4, reeeally good mix, 0.853303, 8
4, stunning back patio, 0.641663, 8
5, good mix, 0.647979, 0
5, requests, 0.26384, 6
5, club bar staff, 0.995259, 8
5, transylvania night, 0.804772, 8
