rating, keyword, relevance, bucket
1, worst bar, 0.562161, 0
1, location, 0.259816, 0
1, Tempe AZ, 0.903737, 1
1, felipes cantina, 0.824059, 1
1, daughters, 0.306106, 2
1, neck, 0.301865, 2
1, shoulders, 0.330521, 3
1, tattoos, 0.30159, 3
2, old bucket chairs, 0.899708, 0
2, blonde bimbos, 0.611851, 0
2, mediocore food, 0.52176, 1
2, super obnoxious sorority, 0.903247, 2
2, sorority slasher film, 0.824647, 2
2, grilled fish tacos, 0.88285, 3
2, Meh, 0.285506, 3
2, Lunch, 0.287452, 6
2, Kristin, 0.276311, 6
2, Cuisine chicken enchiladas, 0.921783, 7
2, Lean, 0.274653, 7
2, lighter fluid, 0.551001, 8
3, inflatable bottles, 0.508905, 0
3, HOT TIP, 0.476512, 0
3, Shrimp Tacos, 0.652822, 1
3, poor waitress, 0.569108, 1
3, food, 0.340821, 2
3, things, 0.302882, 2
3, spot San Felipe, 0.799457, 3
3, cheap bar, 0.505912, 3
3, San Felipe, 0.95827, 5
3, new San Felipe, 0.779077, 6
3, hot cantina, 0.555815, 6
3, fun place, 0.509558, 7
3, double date, 0.506246, 7
3, margaritas, 0.282602, 8
4, Desert Ridge, 0.879794, 3
4, location, 0.541105, 3
4, great place, 0.93478, 7
5, dance floor, 0.743731, 0
5, people, 0.469699, 0
5, cheap dive bar, 0.988603, 3
5, Mexico, 0.47002, 3
5, great music, 0.745237, 7
5, DJ, 0.50482, 7
5, tons, 0.550908, 8
5, control, 0.46975, 8
5, wonderful place, 0.804225, 9
5, time, 0.464138, 9
