rating, keyword, relevance, bucket
2, western trail ride, 0.913964, 0
2, Fort Mcdowell Adventures, 0.801973, 0
2, previous trail ride, 0.884318, 1
2, worst things, 0.670773, 1
2, horse, 0.723042, 2
2, insurance waivers, 0.707633, 2
2, blizzard conditions, 0.704267, 3
2, stubborn horse, 0.688297, 3
2, water, 0.689285, 4
2, good photo, 0.835878, 6
2, good photo opportunities, 0.801374, 6
2, Apple TV slideshow, 0.806439, 7
2, Thanks, 0.565211, 7
2, family, 0.570788, 8
3, close toed shoes, 0.938149, 0
3, newbies loose control, 0.860573, 0
3, scary terrain, 0.627939, 1
3, trouble, 0.373312, 1
3, clueless riders, 0.630858, 2
3, butt, 0.38048, 2
3, horses, 0.487088, 3
3, strength, 0.372039, 3
3, horse, 0.516665, 6
3, big groups, 0.669221, 7
3, place, 0.375391, 7
3, trusty steed, 0.714279, 8
3, views, 0.370395, 8
3, nice experience, 0.611335, 9
4, schoolin haha, 0.726268, 0
4, boyfriends horse, 0.720367, 0
4, horses, 0.730481, 2
4, minor disappointment, 0.726021, 2
4, good ole snores, 0.814344, 3
4, little bit, 0.728656, 3
4, horse, 0.751182, 5
4, Friday Night Franks, 0.98798, 6
4, Fort McDowell Adventures, 0.98264, 6
4, fun time, 0.951709, 7
4, Adult Education, 0.934854, 7
4, interesting people, 0.725092, 8
4, horse Dude, 0.716211, 8
4, Yelp Western Adventures, 0.850528, 9
4, mini western set, 0.831095, 9
5, enormous event look, 0.213872, 0
5, Went last night, 0.207313, 0
5, little bit, 0.252303, 1
5, time horse riders, 0.226644, 2
5, Adult Education nights, 0.2233, 2
5, rum bus area, 0.237753, 3
5, adult education, 0.586078, 4
5, event, 0.274841, 5
5, rum bus, 0.405431, 6
5, Adult Education event, 0.268759, 6
5, Fort McDowell Adventures, 0.948052, 7
5, tequila bus, 0.636985, 7
5, great time, 0.494727, 8
5, wild horses, 0.310122, 8
5, river wild horses, 0.226657, 9
5, fun drinking adventure, 0.223272, 9
