rating,keyword,relevance,bucket
2, Ambiente empfand, 0.787582, 0
2, überfordert, 0.39022, 0
2, Grundkenntnissen einer guten, 0.70471, 4
2, Kopfrechnen, 0.361562, 4
2, Tür rosa schimmerte, 0.913524, 5
2, freundlich aber absolut, 0.733095, 5
2, Grey, 0.323445, 6
3, oberen Bereich angesiedelt, 0.804142, 0
3, gegessen die Schinkennudeln, 0.5815, 0
3, teilweise schlicht unterkühlt, 0.845338, 3
3, arg dreist, 0.552664, 3
3, obwohl fast leer, 0.956967, 4
3, leer war fast, 0.632774, 4
3, Café geschmacklich, 0.589117, 5
3, cool eingerichtet, 0.589097, 5
3, Bedienungen schwanken meist, 0.972824, 6
3, geschmacklich ebenfalls spitze, 0.817702, 6
4, Atmosphäre war unglaublich, 0.929122, 0
4, leer, 0.548789, 3
4, halbherzig kalt, 0.918146, 4
4, laut, 0.520401, 4
4, desto lieber gehe, 0.894311, 5
4, mal aufgefallen, 0.893637, 5
4, GelbeSeiten Bar, 0.855377, 6
4, totale, 0.541208, 6
