rating, keyword, relevance, bucket
1, old mexican restaurant, 0.998731, 0
1, Yelp review retaliation, 0.863465, 0
1, shrimp cocktail, 0.952774, 2
1, long time, 0.83278, 2
1, big money, 0.816213, 3
1, soft drinks, 0.799729, 3
1, fries, 0.729591, 4
1, table, 0.717284, 4
1, Corbin, 0.893335, 5
1, business, 0.814037, 5
1, mucho macho burger, 0.838514, 6
1, good Mexican food, 0.812996, 6
1, homemade kettle chips, 0.817144, 7
1, weekly live music, 0.807086, 7
1, great burger, 0.737826, 8
1, best things, 0.720854, 8
2, monterey chicken sandwich, 0.832411, 0
2, chicken pot pie, 0.832019, 0
2, total disappointing dessert, 0.806761, 1
2, little ambiance, 0.731019, 1
2, skanky dive bar, 0.789609, 2
2, trendy neighborhood eatery, 0.788741, 2
2, Corbin, 0.991152, 3
2, partners birthday, 0.80002, 3
2, food, 0.923004, 4
2, service, 0.894223, 5
2, fish tacos, 0.72625, 6
2, Friday night, 0.725076, 6
2, food great, 0.74689, 7
2, great place, 0.737703, 7
2, LOVE Corbin, 0.78021, 8
2, quality service, 0.734172, 8
3, Art Walk, 0.830123, 0
3, extensive menu hinting, 0.821314, 0
3, pork tenderloin sandwich, 0.802913, 1
3, futuristic granite sink, 0.799985, 1
3, chicken pot pie, 0.884461, 2
3, portabella mushroom sandwich, 0.810721, 2
3, bar food, 0.82333, 3
3, pesto shrimp quesadilla, 0.817134, 3
3, pleasant self/ Corbin, 0.836269, 4
3, service, 0.830668, 4
3, Corbin, 0.97428, 5
3, place, 0.970845, 5
3, nice little place, 0.86268, 6
3, people, 0.841064, 6
3, ........., 0.856383, 7
3, nice spinach-artichoke heart, 0.815911, 7
3, warm spring evening, 0.793721, 8
3, spicy ginger sauce, 0.792847, 8
3, nice looking place, 0.833335, 9
3, comfortable contemporary space, 0.805785, 9
4, nice bar area, 0.733361, 0
4, Good pub food, 0.725151, 0
4, quaint little place, 0.697065, 1
4, Good little place, 0.744571, 3
4, good pesto cheese, 0.724264, 3
4, food, 0.96125, 5
4, place, 0.915295, 5
4, Corbin, 0.897594, 6
4, onion rings, 0.838346, 6
4, fish tacos, 0.830503, 7
4, chicken, 0.741298, 7
4, great food, 0.778992, 8
4, great service, 0.747015, 8
4, no-nonsense food place, 0.727244, 9
4, draft.. mmm Corbin, 0.720039, 9
5, great fresh food, 0.75215, 0
5, vegetarian cheese sandwich, 0.716926, 0
5, high end restaurants, 0.738633, 1
5, prime rib, 0.761545, 3
5, time, 0.750814, 4
5, corbin, 0.987387, 5
5, onion rings, 0.864213, 5
5, place, 0.892866, 6
5, buffalo chicken sandwich, 0.78894, 6
5, BBQ sauce, 0.789992, 7
5, Great bar section, 0.766205, 7
5, great food, 0.991034, 8
5, service, 0.859664, 8
5, great place, 0.793143, 9
5, great eating place, 0.768881, 9
