rating,keyword,relevance,bucket
1, Joseph Zanelli, 0.917181, 0
1, bare minimum tip, 0.849454, 0
1, female bartender, 0.55762, 1
1, WORST service, 0.54853, 1
1, big fan, 0.520524, 2
1, free handout, 0.516211, 2
1, bar food, 0.502465, 3
1, place, 0.316908, 4
1, everytime, 0.296789, 4
1, beer, 0.529843, 5
1, manager, 0.266323, 6
1, friends, 0.257898, 6
1, customer service business, 0.717022, 7
1, damn beer, 0.504216, 7
1, food tastes, 0.528767, 8
1, late night, 0.515938, 8
2, service, 0.604888, 4
2, neighborhood stop, 0.998851, 6
2, times, 0.607073, 6
2, great place, 0.873795, 7
2, refill, 0.696385, 7
3, off-Strip Irish pubs, 0.829176, 0
3, typical bar hall, 0.822548, 0
3, alcohol selection, 0.679194, 2
3, Rocky, 0.660442, 2
3, bar food lol, 0.854603, 3
3, waitress notice, 0.724755, 3
3, time, 0.596225, 5
3, bar food, 0.994428, 6
3, good service, 0.695177, 6
3, solid bar food, 0.883076, 7
3, good go-to place, 0.875212, 7
3, Decent selection, 0.750679, 8
3, night bartender, 0.743585, 8
3, decent enough place, 0.761626, 9
4, large bar area, 0.784397, 0
4, adjacent private seating, 0.770415, 0
4, low riff-raff crowd, 0.737655, 1
4, basic bar food, 0.977013, 2
4, little bit, 0.762246, 2
4, dining room, 0.581917, 3
4, quality, 0.547794, 5
4, place, 0.719666, 6
4, weekend meal, 0.591258, 6
4, beef tips, 0.793592, 7
4, surprisingly good food, 0.771527, 7
4, Good inexpensive food, 0.808155, 8
4, decent beer prices, 0.77896, 8
4, great food, 0.751308, 9
4, friendly place, 0.619421, 9
5, Big ass booths, 0.686948, 0
5, good neighborhood bar, 0.684547, 0
5, class bar food, 0.736635, 1
5, low prices, 0.555971, 1
5, local butcher, 0.547568, 2
5, chicken tenders, 0.677871, 3
5, best bartender, 0.567211, 3
5, bar, 0.901394, 4
5, chicken wings, 0.557918, 4
5, service, 0.846608, 5
5, food, 0.834591, 5
5, fish tacos, 0.921068, 6
5, best bar food, 0.70714, 6
5, great neighborhood bar, 0.72755, 7
5, Great staff, 0.596105, 7
5, great friendly bartenders, 0.737536, 8
5, great classic dishes, 0.698605, 8
5, excellent food, 0.589144, 9
5, bar staff, 0.583477, 9
