rating, keyword, relevance, bucket
1, Las Vegas, 0.926171, 0
1, reasonable request, 0.744651, 0
1, worst possible service, 0.868101, 1
1, bar tenders, 0.722307, 1
1, seats, 0.479208, 2
1, bathrooms, 0.573482, 3
1, water, 0.558439, 3
1, Live music, 0.720458, 6
1, cocktail, 0.491726, 7
1, Cocktails, 0.489176, 7
1, late night, 0.722494, 8
1, WAY, 0.4659, 8
2, cocktail program, 0.62354, 0
2, Brooklyn Bowl, 0.618576, 0
2, lame drinks, 0.754956, 1
2, apathy, 0.451593, 1
2, craft bartending, 0.631542, 2
2, bar stools, 0.625515, 2
2, expensive specialty drinks, 0.921584, 3
2, group, 0.483792, 3
2, open windows, 0.749483, 4
2, time, 0.513181, 4
2, Blvd Cocktail Company, 0.892509, 6
2, live music, 0.792901, 6
2, entertaining musical performer, 0.854528, 7
2, Good atmosphere, 0.648055, 7
2, UR RESTAURANT Went, 0.789385, 8
2, nice smoking section, 0.753805, 8
2, interesting place, 0.5954, 9
3, large groups, 0.782758, 0
3, small space, 0.778135, 0
3, older crowd frequents, 0.928237, 1
3, little watering hole, 0.894142, 1
3, public restroom, 0.796588, 2
3, waitress, 0.782709, 2
3, attention, 0.657779, 4
3, drinks, 0.971545, 5
3, place, 0.869853, 5
3, non-functional talking point, 0.887962, 6
3, lightbulb sculpture, 0.76201, 6
3, designer Voss bottles, 0.894238, 7
3, friend play guitar, 0.893072, 7
3, specialty drinks, 0.840485, 8
3, complex drinks, 0.840056, 8
3, live music playing, 0.927417, 9
3, craft cocktail community, 0.91619, 9
4, jalapeno vodka cocktail, 0.473361, 0
4, good original songs, 0.426373, 0
4, cocktail bar, 0.423608, 1
4, hipster design firm, 0.433125, 2
4, weird little dude, 0.426156, 2
4, tourist trap setting, 0.41994, 3
4, bar, 0.461776, 4
4, drinks, 0.547433, 5
4, night, 0.496863, 5
4, place, 0.679728, 6
4, Linq, 0.556681, 6
4, live music, 0.923014, 7
4, great old school, 0.450333, 7
4, great place, 0.513746, 8
4, craft cocktails, 0.495976, 8
4, fantastic live music, 0.483191, 9
4, decent live music, 0.476107, 9
5, nice little thing, 0.642217, 0
5, dimly lit speakeasy, 0.638437, 0
5, little plastic cups, 0.638308, 2
5, long wood bar, 0.637843, 2
5, Plush dark accents, 0.635417, 3
5, live music, 0.984289, 6
5, drinks, 0.782066, 6
5, Las Vegas, 0.661389, 7
5, Las Vegas Nevada, 0.643527, 7
5, place, 0.831558, 8
5, piano player, 0.815584, 8
5, great place, 0.765595, 9
5, place cocktails, 0.680724, 9
