rating,keyword,relevance,bucket
1, Rude inattentive service, 0.738249, 0
1, worst service, 0.733776, 0
1, lake las vegas, 0.933775, 1
1, rude unhelpful staff, 0.716193, 1
1, tortellini pasta water, 0.746756, 2
1, small pizza, 0.656913, 2
1, food, 0.743142, 3
1, French restaurant, 0.722628, 3
1, pizza, 0.745984, 4
1, place, 0.658247, 4
1, appetizer, 0.617456, 5
1, Italian food tastes, 0.733157, 6
1, vodka pink sauce, 0.713992, 6
1, grill marks, 0.63004, 7
1, decent meal, 0.627908, 8
1, nice place, 0.623916, 8
2, lake las vegas, 0.91225, 0
2, live music playing, 0.689205, 0
2, smelly mildewy cheese, 0.661555, 1
2, romantic little restaurant, 0.636355, 1
2, order entrees, 0.552543, 2
2, different glasses, 0.548414, 2
2, customer service, 0.566066, 3
2, good fiancé, 0.564515, 3
2, food, 0.663317, 4
2, place, 0.633531, 4
2, lobster ravioli, 0.702558, 6
2, pleasant customer experience, 0.693556, 6
2, fried gnocchi, 0.68413, 7
2, saffron sauce, 0.682123, 7
2, Thanks yelp, 0.553302, 8
2, decent size, 0.537425, 8
2, good sign, 0.560451, 9
3, good Italian food, 0.594248, 0
3, spicy tomato sauce, 0.576259, 0
3, Italian restaurant, 0.571549, 1
3, Average Italian restaurant, 0.568673, 1
3, italian food, 0.629181, 2
3, multiple times, 0.563803, 2
3, Sunday Brunch, 0.603785, 3
3, cream sauce, 0.599733, 3
3, cheese pizza, 0.580476, 5
3, good quality, 0.574301, 5
3, sun-dried tomato gnocchi, 0.568684, 6
3, amazing Lavazza coffee, 0.564217, 6
3, lake las vegas, 0.998029, 7
3, Luna Rossa, 0.725675, 7
3, Lovely location, 0.568849, 8
3, large wine glass, 0.56649, 8
4, standard bread starter, 0.566564, 0
4, chicken *sad face*, 0.543347, 0
4, special low rate, 0.550602, 2
4, Creme Brûlée, 0.534815, 2
4, anniversary dinner, 0.453387, 4
4, dinner, 0.52337, 5
4, dessert, 0.444601, 5
4, Black Pepper Grill, 0.740116, 6
4, Cesar salad, 0.529647, 6
4, Luna Rossa, 0.989746, 7
4, Lake Las Vegas, 0.89103, 7
4, lobster tail, 0.557109, 8
4, Authentic Italian restaurant, 0.520384, 8
4, calamari appetizer, 0.482964, 9
4, cozy atmosphere, 0.450358, 9
5, Las Vegas area, 0.382171, 0
5, Vegas area Memorial, 0.300516, 0
5, place, 0.309919, 4
5, Luna Rossa, 0.6089, 5
5, sauce, 0.363713, 5
5, food, 0.456364, 6
5, best Italian meal, 0.343859, 6
5, lake las vegas, 0.971946, 7
5, caesar salad, 0.384894, 7
5, great food, 0.383987, 8
5, quality Italian food, 0.367614, 8
5, authentic Italian food, 0.354053, 9
5, Absolutely amazing food, 0.320447, 9
