rating, keyword, relevance, bucket
1, high priced disaster, 0.708845, 0
1, worst parts, 0.705214, 0
1, strip club, 0.912367, 1
1, big ass, 0.694986, 1
1, normal strip club, 0.727441, 2
1, girls, 0.692357, 2
1, ethnic girls, 0.642739, 3
1, place, 0.58958, 3
1, room, 0.462466, 4
1, Seamless, 0.504109, 5
1, free limo, 0.545338, 6
1, tattoos, 0.42873, 6
1, session, 0.428168, 7
1, good time stay, 0.636956, 9
1, advise, 0.427118, 9
2, Irie, 0.530365, 0
2, wack strippers, 0.926479, 1
2, faces, 0.501817, 1
2, strip clubs, 0.873144, 2
2, lap dance, 0.864699, 2
2, table, 0.49331, 3
2, limo, 0.774101, 5
2, LOL, 0.537525, 6
2, Tryst, 0.59607, 7
2, coo, 0.766438, 8
2, chick, 0.527973, 8
3, pretty girls, 0.58869, 0
3, wedding, 0.344309, 0
3, thats bad LOL, 0.77147, 1
3, different chicks, 0.559428, 1
3, evil tramp, 0.774736, 2
3, dumb tuff guy, 0.752142, 2
3, tiny little strip, 0.723092, 3
3, ........., 0.656086, 3
3, girls, 0.594229, 5
3, strip club, 0.933197, 6
3, good time, 0.784957, 6
3, good mix, 0.565891, 7
3, friendly door staff, 0.724929, 8
3, nuptial finery, 0.57725, 8
3, frosty refreshing adult, 0.760521, 9
3, magic number, 0.541207, 9
4, smoking-hot Korean stripper, 0.969133, 0
4, private session, 0.910919, 0
4, nasty spider bite, 0.876431, 1
4, drunken stupidity, 0.720138, 1
4, decent tab, 0.721432, 2
4, old boss, 0.711822, 2
4, strip clubs, 0.928341, 3
4, hottest stripper, 0.802184, 3
4, cool strip club, 0.871049, 6
4, though. drinks, 0.704873, 6
4, after-hours strip-club outing, 0.884906, 7
4, good time, 0.757806, 7
4, Coo spot, 0.748159, 8
4, guys, 0.540812, 8
5, dance floor, 0.761416, 0
5, strip clubs, 0.781593, 3
5, drinks, 0.504541, 3
5, pretty early time, 0.98172, 6
5, Good times, 0.698751, 6
5, limo ride, 0.801791, 7
5, super cool, 0.785334, 7
5, girls, 0.589989, 8
