rating,keyword,relevance,bucket
2, bar ambiance, 0.955873, 0
2, hummus, 0.677831, 0
2, review, 0.55093, 1
2, main plate, 0.980126, 3
2, bar atmosphere, 0.870114, 3
2, food, 0.717107, 4
2, night, 0.559364, 7
2, Groupon, 0.55852, 7
3, place little hipsters, 0.807254, 0
3, small kitchen space, 0.743734, 0
3, bluesgrass jam night, 0.777185, 1
3, crappy night, 0.677272, 1
3, Park House, 0.774683, 2
3, Long narrow bar, 0.770788, 2
3, peanut shells, 0.662615, 3
3, Pittsburgh area, 0.656958, 3
3, Saturday night, 0.919178, 4
3, place, 0.843065, 5
3, bar, 0.784672, 5
3, acceptable behavior, 0.663828, 6
3, house humus, 0.647418, 6
3, bluegrass night, 0.857003, 7
3, decent bourbon selection, 0.762207, 7
3, unlimited salty popcorn, 0.812973, 8
3, free popcorn, 0.793752, 8
3, well-known bluegrass night, 0.786695, 9
3, good draft offering, 0.770977, 9
4, regular bar food, 0.61776, 0
4, dive bar way, 0.613841, 0
4, neighborhood bar, 0.5555, 1
4, bar crawl, 0.528523, 1
4, straight-up bar review, 0.626048, 2
4, typical bar food, 0.60974, 3
4, occasional creeper, 0.505856, 3
4, place, 0.622887, 5
4, bar, 0.822184, 6
4, improv comedy group, 0.584945, 6
4, Park House, 0.925164, 7
4, blue grass, 0.756949, 7
4, beer selection, 0.781302, 8
4, good beer selection, 0.623659, 8
4, Super fun night, 0.603421, 9
4, Golani Platter-veggie dish, 0.576659, 9
5, Wednesday night Blue, 0.837285, 0
5, Grass jam night, 0.806261, 0
5, great things, 0.727508, 2
5, bar security blanket, 0.774088, 3
5, polka dot mannequins, 0.762738, 3
5, Wednesday nights, 0.836237, 5
5, place, 0.831794, 5
5, blue grass night, 0.809369, 6
5, historic building, 0.706574, 6
5, park house, 0.986902, 7
5, Life String Band, 0.875786, 7
5, beer selection, 0.876163, 8
5, great beer selection, 0.850842, 8
5, great Mediterranean food, 0.783405, 9
5, manly dart board, 0.778356, 9
