rating, keyword, relevance, bucket
1, conversation, 0.521829, 0
1, dirty looking rag, 0.917089, 1
1, incoming patrons, 0.729259, 1
1, girl friends, 0.720272, 8
1, guys, 0.517718, 8
1, goodness, 0.55107, 9
2, clientele, 0.804902, 3
2, Great location, 0.984464, 8
3, 80s strip club, 0.811154, 0
3, drink specials, 0.561666, 0
3, Disaffected grad students, 0.828929, 1
3, frat bros, 0.527419, 1
3, sluttily-dressed 18-year-old waitress, 0.931013, 2
3, bar snacks, 0.500134, 3
3, outdoor service, 0.482225, 3
3, Barfly, 0.651651, 4
3, decent drinks, 0.563917, 6
3, cover song, 0.432543, 7
3, townies, 0.235439, 7
3, classy martinis, 0.550899, 8
3, Cowboy Monkey, 0.541551, 8
4, chill bar, 0.784832, 0
4, place, 0.395057, 0
4, pretentious crowd, 0.885362, 1
4, street, 0.374158, 1
4, cms, 0.432769, 3
4, people, 0.380259, 3
4, super yummy mojitos, 0.992126, 7
4, big fan, 0.767787, 7
4, nice ambiance, 0.866027, 9
4, Saturday night, 0.764408, 9
