rating,keyword,relevance,bucket
1, lecker, 0.918553, 5
3, leider, 0.403044, 3
3, mehrere Male besucht, 0.883404, 4
3, Bars vergleichen lässt, 0.990772, 5
3, Bekannten der Zutritt, 0.657374, 5
4, spät, 0.304156, 0
4, Rauchwolke, 0.264894, 3
4, erstmal entgegenschlägt, 0.497716, 4
4, Gastraum betritt, 0.495757, 4
4, mehreren Bartendern freundlich, 0.804112, 5
4, hinten, 0.308687, 5
4, Ambiente angenehme Musik, 0.934386, 6
5, hervorragender Lüftung stört, 0.704447, 4
5, paar Tische draussen, 0.697301, 5
5, Händen rein fasst, 0.666284, 5
5, Tolles Ambiente exzellente, 0.928239, 6
5, exzellente Drinks super, 0.800019, 6
5, Auswahl an Zigarren, 0.417356, 7
5, Schöne Cocktailkarte, 0.410672, 7
