rating,keyword,relevance,bucket
1, Sunday Beer Bust, 0.94865, 0
1, spectacle, 0.339606, 0
1, cock sucking, 0.830293, 1
1, cum swapping, 0.797099, 1
1, Phoenix/Tempe Police, 0.606158, 3
1, wonder, 0.318694, 7
1, place, 0.274552, 7
4, Nu Towne Saloon, 0.747488, 0
4, Van Buren, 0.429542, 0
4, dark cavernous bar, 0.583203, 1
4, dim lighting, 0.415583, 1
4, Daddy Ron, 0.602773, 2
4, cum Retro Bar, 0.577371, 2
4, new pool tables, 0.532343, 3
4, beer busts, 0.407379, 3
4, apartments, 0.276659, 4
4, flat-panel TVs, 0.401672, 6
4, swap meet, 0.392453, 6
4, Nu Towne, 0.935443, 7
4, swanky saloon, 0.422141, 7
4, restrooms, 0.239141, 8
5, Sunday beer bust, 0.489428, 0
5, greatest gay bars, 0.477569, 0
5, pretentious place, 0.441406, 1
5, nu towne saloon, 0.735842, 2
5, oldest gay bar, 0.62075, 3
5, New Nu towne, 0.606541, 3
5, web site, 0.50233, 4
5, nu towne, 0.958004, 5
5, Daddy Ron, 0.825997, 6
5, place, 0.621709, 6
5, best holiday decorations, 0.467581, 7
5, new catchy songs, 0.46512, 7
5, Nu towne stays, 0.615137, 8
5, interesting gay bar, 0.507846, 8
5, owner Daddy Ron, 0.526504, 9
5, bartenders. good atmosphere, 0.457941, 9
