rating, keyword, relevance, bucket
1, has been closed, 0.832711, 0
1, Stand 09, 0.488272, 0
1, aufgelöst Internetseite gelöscht, 0.977168, 4
1, aktiv, 0.315908, 4
1, mittlerweile geschlossen, 0.75286, 6
2, Update November 2014, 0.938875, 0
2, 2015, 0.439047, 0
2, kommuniziert, 0.499324, 5
3, Gampas waren mmmhhhhhhh, 0.621303, 0
3, Nudeln, 0.393106, 0
3, typisch, 0.539721, 4
3, langsam, 0.387388, 4
3, netten Platz gesehen, 0.914761, 5
3, selber ausprobieren, 0.781547, 5
3, lieben, 0.382937, 6
3, Idyllisch sitzt, 0.708051, 7
5, Tisch bekamen, 0.829783, 0
5, Tische grenzwertig, 0.770244, 0
5, letzte mal, 0.746533, 3
5, mal vor ca, 0.717518, 3
5, Einschränkung zu empfehlen, 0.904244, 4
5, uneingeschränkt zu empfehlen, 0.992866, 5
5, entgehen lassen, 0.853756, 5
5, lecker, 0.346097, 6
