rating, keyword, relevance, bucket
1, yard, 0.47194, 0
1, place, 0.468482, 0
1, better dive bars, 0.981245, 1
1, Wont return, 0.794904, 1
1, afternoon cocktails, 0.816426, 2
1, gay neighbor, 0.787113, 2
1, drink, 0.469808, 4
2, ugly mouth, 0.657807, 0
2, song selections, 0.6387, 0
2, trashy divey joint, 0.967448, 1
2, trashy sports bar, 0.963397, 1
2, dive bars, 0.822896, 2
2, nasty look, 0.643, 2
2, ugly girls, 0.673161, 3
2, people, 0.589229, 3
2, semi cute guys, 0.879059, 6
2, loud mouth, 0.657326, 6
2, place, 0.450994, 7
2, head, 0.44764, 7
2, bartenders, 0.461271, 8
2, Thanks, 0.459069, 8
3, ass backwards relationship, 0.841913, 0
3, obviously fiscal nature, 0.838193, 0
3, negative circumstance, 0.725354, 1
3, friend meltdown, 0.724618, 1
3, bar stool, 0.723814, 2
3, unruly bunch, 0.720564, 2
3, satellite juke box, 0.806166, 3
3, grumpy Brit friends, 0.805663, 3
3, Pomeroy, 0.969741, 4
3, place, 0.831112, 4
3, good times, 0.848478, 6
3, good buzz, 0.729887, 6
3, pretty large menu, 0.813705, 7
3, tater tots, 0.810495, 7
3, pool tables, 0.810628, 8
3, chicken Philly cheesesteak, 0.790506, 8
4, particular bar food, 0.607179, 0
4, midweek bar staff, 0.574233, 0
4, dive bar, 0.7067, 1
4, self-respecting dive bar, 0.594131, 1
4, bar food, 0.625152, 2
4, Dude. Pomeroy, 0.594665, 2
4, night bar food, 0.614456, 3
4, turkey green chile, 0.549565, 3
4, grilled cheese, 0.926664, 4
4, place, 0.581503, 4
4, Pomeroy, 0.7749, 5
4, Saturday night, 0.567319, 5
4, green chile, 0.626832, 6
4, pool tables, 0.602283, 6
4, grilled cheese sammy, 0.619241, 7
4, delicious grilled cheese, 0.616925, 7
4, Internet juke box, 0.566855, 8
4, Oooh Pomeroy, 0.558664, 8
4, good time, 0.497204, 9
4, great place, 0.495066, 9
5, aforementioned bathroom venture, 0.81904, 0
5, juke box, 0.709858, 0
5, cheap drinks, 0.69807, 1
5, dark neighborhood bar, 0.903305, 2
5, quintessential bar food, 0.855379, 2
5, cheap eats, 0.697653, 3
5, birthday night, 0.680187, 3
5, new home base, 0.858093, 6
5, Hey Charlie, 0.724396, 6
5, great dive bar, 0.851909, 7
5, small respectable arcade, 0.84619, 7
5, good time, 0.846563, 8
5, good casual place, 0.840757, 8
5, special place, 0.689695, 9
5, clean clothes, 0.684306, 9
