rating, keyword, relevance, bucket
1, cheap sports bar, 0.673041, 0
1, REAL burgers, 0.378594, 0
1, chop salad, 0.924922, 1
1, lunch meat, 0.36436, 1
1, new burger, 0.865691, 2
1, Arena Sorts Grill, 0.817294, 2
1, French fries, 0.458247, 3
1, great job, 0.406879, 7
1, North Scottsdale place, 0.699042, 8
1, attentive ladies, 0.484426, 8
2, steel wall panels, 0.878303, 0
2, Small seating area, 0.877307, 0
2, Local dive bar, 0.894239, 1
2, bar fare, 0.777605, 1
2, neighborhood sports bar, 0.913205, 2
2, menu prices, 0.761252, 2
2, trendy sports bar, 0.901888, 3
2, Jack Daniels statute, 0.887051, 3
2, good thing, 0.92179, 4
2, place, 0.746504, 4
2, waitress, 0.691144, 5
2, sliders, 0.676882, 5
2, unbreaded chicken meat, 0.924199, 6
2, separate restaruant area, 0.881123, 6
2, table seating area, 0.894144, 7
2, memorable sports  games, 0.885686, 7
2, closer local spots, 0.870294, 8
2, possible spot, 0.778553, 8
2, lunch menu, 0.800256, 9
3, buffalo wild wings, 0.987872, 0
3, bit mroe downscale, 0.945469, 0
3, Thursday night football, 0.904154, 1
3, bar rat, 0.856336, 1
3, Typical bar food, 0.969406, 2
3, little corner bar, 0.941654, 2
3, new fish shop, 0.944147, 3
3, issue sports bar, 0.938508, 3
3, ........., 0.928004, 4
3, bar, 0.990263, 5
3, place, 0.853915, 5
3, track betting salon, 0.906153, 6
3, good food, 0.829057, 6
3, good drink specials, 0.917556, 7
3, reasonable beer prices, 0.90099, 7
4, great bar food, 0.74172, 0
4, perfect bar food, 0.700699, 0
4, Scottsdale sports bar, 0.681036, 2
4, sports bar stuff, 0.673909, 2
4, Bloody Mary bar, 0.684846, 3
4, little neighborhood bar, 0.67665, 3
4, onion rings, 0.710856, 5
4, place, 0.685351, 5
4, wings, 0.696551, 6
4, local sports bar, 0.675699, 6
4, great sports bar, 0.947582, 7
4, great family atmosphere, 0.708555, 7
4, good food, 0.75155, 8
4, real good food, 0.713463, 8
4, great service, 0.744564, 9
4, good eats Great, 0.726132, 9
5, local sports bar, 0.727541, 0
5, Scottsdale area, 0.700099, 0
5, dive bar, 0.601145, 1
5, bad language, 0.554712, 1
5, cheap drinks, 0.720093, 2
5, empty.. kinda, 0.615684, 2
5, Cool little sports, 0.724998, 3
5, little life, 0.54714, 3
5, little sports bar, 0.999865, 6
5, best wings, 0.58439, 6
5, dollar drink specials, 0.657862, 7
5, Small smoking patio, 0.653916, 7
5, great little sports, 0.738373, 8
5, best bar experience, 0.726642, 8
5, Great place, 0.584311, 9
5, fun place, 0.569071, 9
