rating, keyword, relevance, bucket
1, made-to-order omelet station, 0.821382, 0
1, buffet brunch, 0.677888, 0
1, food, 0.772868, 1
1, extra spicy, 0.724583, 1
1, grilled chicken sandwich, 0.817686, 2
1, worst brunches, 0.650208, 2
1, wait staff, 0.613183, 3
1, favorite foods, 0.595034, 3
1, place, 0.695513, 4
1, Pittsburgh, 0.479795, 4
1, spicy chicken nuggets, 0.930969, 6
1, red grapefruit, 0.639599, 6
1, dining experience, 0.623199, 7
1, terrible experience, 0.611951, 7
2, hotel lobby buffets, 0.705604, 0
2, decent food, 0.595463, 0
2, bc gazpacho, 0.632575, 1
2, hot food, 0.581432, 1
2, Hellfire Strength gazpacho, 0.75995, 2
2, mac n cheese, 0.674649, 2
2, Harris, 0.572517, 3
2, appetizer, 0.562871, 3
2, burger, 0.597969, 4
2, meal, 0.592692, 4
2, shiloh grill, 0.920651, 5
2, food, 0.908337, 5
2, spinach dip, 0.772764, 6
2, salsa level chunky, 0.694505, 7
2, nice patio, 0.57448, 7
2, artichoke dip app, 0.69479, 8
2, personable staff, 0.582452, 8
2, comfortable atmosphere, 0.556298, 9
3, good bar flies, 0.535828, 0
3, Shiloh Grille, 0.519946, 0
3, vanilla ice cream, 0.494601, 1
3, chocolate chip cookie, 0.491143, 1
3, great food, 0.507441, 2
3, typical neighborhood bar, 0.504525, 2
3, ordinary turkey burger, 0.525314, 3
3, quickie salad chop, 0.507739, 3
3, shiloh grill, 0.905117, 4
3, Harris Grill, 0.799725, 4
3, turkey burger, 0.720738, 5
3, food, 0.619208, 5
3, perfectly good meal, 0.518376, 6
3, warm summer night, 0.510218, 6
3, Solid turkey burger, 0.548834, 7
3, great place, 0.51916, 7
3, Hearty Veggie Chili, 0.513074, 8
3, pumpkin sangria, 0.511077, 8
3, Fantastic drink menu, 0.508728, 9
3, easy going hangout, 0.507324, 9
4, Sriracha Deviled Eggs, 0.409856, 0
4, tasty wheat beer, 0.402012, 0
4, Philly cheese steak, 0.401235, 1
4, mozzarella cheese stick, 0.400374, 2
4, recent visit Shiloh, 0.425614, 3
4, Shiloh Grill, 0.905309, 4
4, bar area, 0.399736, 4
4, Harris Grill, 0.837401, 5
4, food, 0.611508, 5
4, place, 0.578341, 6
4, menu, 0.543365, 6
4, buffalo chicken dip, 0.565918, 7
4, church basement pierogies, 0.53016, 7
4, Mount Washington, 0.500699, 8
4, restaurant Shiloh Grill, 0.47544, 8
4, great drink menu, 0.422903, 9
4, good beer selection, 0.421683, 9
5, best city view, 0.70867, 0
5, short rib tacos, 0.706527, 0
5, vanilla ice cream, 0.796238, 2
5, tempura batter Twinkie, 0.705838, 2
5, cheese bowl, 0.718038, 3
5, floor seating area, 0.701114, 3
5, shiloh grill, 0.996597, 4
5, frozen cosmo, 0.712336, 5
5, cheese, 0.881152, 6
5, place, 0.862187, 6
5, lobster mac, 0.733629, 7
5, blue cheese, 0.722994, 7
5, great food, 0.857954, 8
5, Mt Washington, 0.779898, 8
5, great food super, 0.763723, 9
5, delicious food, 0.75927, 9
