rating, keyword, relevance, bucket
1, crap hole, 0.788494, 0
1, biker, 0.634412, 0
1, dive bars, 0.983048, 2
1, trailer trashy, 0.807738, 2
1, do-over charge, 0.775667, 3
1, place, 0.663694, 3
1, bartender, 0.659933, 6
1, Surprise, 0.497193, 6
1, pretty much hound, 0.806566, 7
1, drinks, 0.619931, 7
3, various sports, 0.617106, 0
3, okay, 0.392768, 0
3, neighborhood bar, 0.63644, 1
3, typical fried food, 0.916377, 2
3, Buzztime Trivia, 0.651723, 2
3, weeds, 0.377478, 3
3, places, 0.351345, 3
3, couple pool tables, 0.89631, 6
3, Sara, 0.455683, 7
4, chill biker hangout, 0.901459, 0
4, chill place, 0.608639, 0
4, dont, 0.304347, 2
4, bunch, 0.276128, 2
4, restaurant bars, 0.565289, 3
4, single bar, 0.553612, 3
4, Horse betting, 0.532919, 6
4, pool tables, 0.522551, 6
4, Surprise, 0.640384, 7
4, weekend night, 0.619248, 7
4, juke box, 0.554478, 8
4, fun crowd, 0.548952, 8
4, good drink prices, 0.762508, 9
4, good service, 0.735375, 9
