rating,keyword,relevance,bucket
1, service bar tender, 0.924154, 0
1, Booooooo Wow, 0.614777, 0
1, children, 0.294357, 1
1, shame, 0.235724, 1
1, initiation period, 0.698312, 2
1, disappointment, 0.265226, 2
1, Jenny, 0.335949, 3
1, manager, 0.279681, 3
1, bartender walk, 0.771846, 6
1, hello, 0.23158, 6
1, better bar, 0.588232, 7
1, way, 0.208015, 7
2, non-conformists, 0.810108, 0
2, bartender, 0.797636, 0
2, piercings, 0.774294, 2
2, standoffish, 0.698085, 2
2, drinks, 0.739003, 3
2, type, 0.692866, 3
2, bartenders, 0.79258, 7
2, pleasant conversation, 0.993029, 9
2, waitress, 0.80706, 9
3, Philly Cheesesteak eggroll, 0.591646, 0
3, chill bar, 0.523633, 0
3, little bit, 0.446011, 1
3, bar pool tables, 0.623581, 2
3, Buffalo Bills bar, 0.621734, 2
3, video poker bar, 0.620595, 3
3, short blonde hair, 0.563659, 3
3, bar, 0.63869, 4
3, place, 0.41207, 4
3, Moon Doggies, 0.999873, 5
3, naked city pizza, 0.818107, 5
3, video poker machine, 0.583029, 6
3, double margaritas, 0.466132, 6
3, dive bar, 0.604674, 7
3, certain profession, 0.571269, 7
3, Friendly bartenders, 0.484189, 8
3, food, 0.345816, 8
3, fun night, 0.446714, 9
3, football game, 0.444739, 9
4, good dive bar, 0.604121, 0
4, super dive bar, 0.596446, 0
4, dive bar tour, 0.614297, 1
4, seedy local refuge, 0.570787, 1
4, dive bar, 0.895281, 2
4, beaten path, 0.596978, 2
4, lite beer, 0.50317, 3
4, place, 0.495138, 4
4, video poker, 0.579802, 5
4, Sheet Pizza, 0.617207, 6
4, Las Vegas sun, 0.588047, 6
4, City Pizza Shop, 0.713128, 7
4, best pizza, 0.651673, 7
4, Naked City Pizza, 0.976393, 8
4, Moon Doggies, 0.821036, 8
4, Great chill, 0.501193, 9
5, garlic fries, 0.580209, 0
5, Diners Drive Ins, 0.576919, 0
5, Dive bar west, 0.585755, 2
5, great Las Vegas, 0.652041, 3
5, pizza, 0.929893, 5
5, moon doggies, 0.827953, 5
5, suicide fries, 0.774481, 6
5, food, 0.696168, 6
5, garlic sauce, 0.799687, 7
5, place, 0.782567, 7
5, great pizza, 0.73642, 8
5, white pizza, 0.692308, 8
5, great Great food, 0.681589, 9
5, delicious over-sized pizza, 0.664793, 9
