rating, keyword, relevance, bucket
1, dozen times, 0.828609, 0
1, seat table, 0.774506, 0
1, bar, 0.656972, 1
1, service, 0.578893, 1
1, Nov, 0.500278, 3
1, case mgmt. cares, 0.985581, 6
1, course, 0.483935, 6
2, proper I.D.  Luckily, 0.814588, 0
2, open table/seat..and wait, 0.78526, 0
2, embarrassing outfit, 0.684677, 1
2, waste, 0.561876, 1
2, common red/black night, 0.865466, 2
2, club thing, 0.690304, 2
2, can-can room/brothel theme, 0.83957, 3
2, MGM next time, 0.694173, 3
2, expensive experience, 0.663186, 4
2, place, 0.565198, 5
2, drink menu, 0.961401, 6
2, Davidoff cigar shop, 0.816824, 6
2, free drink coupon, 0.911912, 7
2, better quality, 0.67316, 7
2, tequila sunrise, 0.662372, 8
2, Halloween night, 0.651846, 8
3, late Saturday night, 0.965788, 0
3, stiff drinks, 0.799844, 0
3, MGM many times, 0.763222, 1
3, Decent place, 0.756756, 1
3, MGM hotel, 0.781018, 2
3, central bar, 0.745207, 2
3, drink, 0.849517, 3
3, stupid things, 0.730766, 3
3, place, 0.851823, 4
3, service, 0.773442, 4
3, Don Julio, 0.930652, 5
3, drinks, 0.869377, 5
3, Don Julio Blanco, 0.929055, 6
3, decent time, 0.777576, 6
3, non-traditional margaritas, 0.782962, 7
3, MGM Grand, 0.759004, 7
3, Gaga fans, 0.76085, 8
3, Chill place, 0.746087, 8
3, Comfortable seating lounge, 0.932449, 9
4, Dave Matthews Band, 0.579881, 0
4, Vegas drink prices, 0.563612, 0
4, James Bond, 0.451023, 1
4, standard bloody mary, 0.600331, 2
4, Heart Bar, 0.488575, 2
4, average Vegas prices, 0.545331, 3
4, freakin hotel, 0.476883, 3
4, Zuri Lounge, 0.901591, 4
4, bar, 0.628851, 5
4, bloody mary, 0.718287, 6
4, place, 0.492705, 6
4, drinks, 0.477271, 7
4, people, 0.452324, 7
4, good real drink, 0.573469, 8
4, single malt scotch, 0.552656, 8
4, tasty bloody mary, 0.602376, 9
4, special place, 0.466149, 9
5, Partied w/my group, 0.880956, 0
5, OMG Officer, 0.707784, 0
5, drunk girls, 0.667637, 1
5, conversation, 0.463435, 1
5, wild horses, 0.696322, 2
5, hotel room, 0.685073, 2
5, room service, 0.684691, 3
5, purse, 0.465202, 3
5, drinks, 0.626554, 5
5, Halloween night/next morning, 0.956977, 6
5, Heh. Stayed, 0.70509, 6
5, brilliant idea, 0.710159, 7
5, great place, 0.662249, 7
5, Good meet, 0.748244, 8
5, MGM sure, 0.747601, 8
5, best bartenders, 0.690204, 9
