rating, keyword, relevance, bucket
3, Nous sommes allés, 0.966999, 0
3, n'était pas fantastique, 0.936, 0
3, waitress, 0.461667, 2
3, bills, 0.437193, 2
3, choices, 0.436536, 3
3, yeux sur le, 0.915253, 6
3, aiment le billard, 0.914675, 6
3, Place, 0.435276, 7
3, pint, 0.457322, 8
3, keith, 0.432365, 8
4, Crowd, 0.38369, 0
4, crazy cold night, 0.819023, 1
4, nice bar, 0.676242, 1
4, olds, 0.381114, 2
4, bit, 0.386909, 3
4, pitcher, 0.384257, 3
4, atmosphere, 0.369315, 6
4, Boul Noir, 0.9636, 7
4, Jean Coutu, 0.62005, 7
4, pool tables, 0.57413, 8
4, plenty, 0.373154, 8
4, great ambiance, 0.63868, 9
4, cousins, 0.384797, 9
