rating,keyword,relevance,bucket
1, ice water, 0.811304, 0
1, mwnu, 0.480962, 1
1, subpar, 0.480761, 1
1, slow service, 0.860003, 2
1, boneless wings, 0.83112, 2
1, bite, 0.508093, 3
1, place, 0.495148, 3
1, restaurant, 0.497092, 6
1, medium cool lettuce, 0.970391, 7
1, salads, 0.681886, 7
2, short wait, 0.847833, 0
2, drink order, 0.784413, 0
2, pasta dish, 0.787513, 1
2, redeeming factor, 0.780423, 1
2, ribs cheese sauce, 0.913756, 2
2, spinach artichoke dip, 0.901829, 2
2, main dining section, 0.931236, 3
2, false perception, 0.79521, 3
2, Multiple parking, 0.796285, 4
2, food, 0.775266, 4
2, server, 0.808237, 5
2, lobby, 0.717277, 5
2, fried mozzarella sticks, 0.91295, 6
2, cheese pasta, 0.804185, 6
2, soup, 0.9048, 7
2, salad, 0.875945, 7
2, small salad, 0.828866, 8
2, good sign, 0.796543, 8
3, wonton tacos, 0.563922, 0
3, usual order, 0.537045, 0
3, mushrooms, 0.328883, 1
3, gristle, 0.281599, 2
3, bites, 0.260736, 2
3, kitchen, 0.367915, 3
3, problem, 0.319065, 4
3, house special sirloin, 0.838132, 6
3, super tall pbr, 0.79566, 6
3, super tall beer, 0.753559, 7
3, large party, 0.550117, 7
3, super large PBR, 0.78636, 8
3, happy hour appetizers, 0.526146, 8
4, Saturday mornings, 0.85778, 0
4, strip mall, 0.84365, 0
4, home, 0.489989, 2
4, Applebee, 0.554309, 3
4, times, 0.485604, 3
4, food, 0.643956, 5
4, nicer evening, 0.879072, 6
4, GREAT margaritas, 0.872753, 6
4, service, 0.553878, 7
4, entire dining experience, 0.997031, 8
4, Awesome waiter, 0.878316, 8
4, wait staff, 0.824243, 9
5, Tuesday nights, 0.774202, 0
5, drunken stuper, 0.753112, 0
5, run-on sentence, 0.776525, 1
5, likely fat, 0.753959, 1
5, TRUE TAT, 0.746173, 2
5, bad review, 0.742982, 2
5, certain Fri, 0.80012, 3
5, certain nights, 0.787925, 3
5, Bud Light, 0.791372, 6
5, Coors, 0.493537, 6
5, Nice frIendly place, 0.969828, 7
5, price appetizers, 0.817298, 7
5, nicest manager, 0.838883, 8
5, great service, 0.733011, 8
