rating, keyword, relevance, bucket
1, hot food item, 0.896068, 0
1, Sunday Night Football, 0.894139, 0
1, mediocre food lol, 0.930875, 1
1, grand opening, 0.906484, 1
1, food, 0.940533, 2
1, less-than-stellar food, 0.819308, 2
1, sweet potato, 0.889902, 3
1, managerial problems,bartender problems, 0.872623, 3
1, beer, 0.872016, 4
1, tomato based sauce, 0.881272, 6
1, BBQ combo plate, 0.870419, 6
1, large BBQ sample, 0.896095, 7
1, nice selection, 0.895423, 7
2, jerk chicken taco, 0.763428, 0
2, South Park, 0.75194, 0
2, jerk chicken, 0.820726, 1
2, fact jerk chicken, 0.760956, 1
2, credit card, 0.756136, 2
2, low key bar, 0.756001, 2
2, similar whiskey list, 0.74991, 3
2, early Tuesday evening, 0.743815, 3
2, French onion soup, 0.984289, 4
2, food, 0.853994, 4
2, place, 0.873563, 5
2, sandwich, 0.774123, 5
2, sweet potato fries, 0.89182, 6
2, extensive beer list, 0.75983, 6
2, Korean taco, 0.838305, 7
2, grilled cheese sandwich, 0.751861, 7
2, wait staff, 0.756182, 8
2, good barbeque, 0.709643, 8
2, good patio, 0.691603, 9
3, beef brisket taco, 0.798618, 0
3, pork sandwich sans, 0.786498, 0
3, French onion soup, 0.747545, 1
3, cheddar grit cakes, 0.818562, 2
3, food, 0.909882, 3
3, cheap nacho cheese, 0.785802, 3
3, bacon cheddar grit, 0.941022, 4
3, place, 0.906386, 4
3, beer cheese, 0.96279, 5
3, corn succotash, 0.861885, 5
3, turkey burger, 0.873226, 6
3, brisket sandwich, 0.837787, 6
3, beer cheese dip, 0.913462, 7
3, pork pork sandwich, 0.808702, 7
3, highly recommended brisket, 0.78016, 8
3, cool concept, 0.754984, 8
3, storybook type theme, 0.782376, 9
3, Cheddar jalapeño biscuits, 0.77493, 9
4, weak mixed drinks, 0.865927, 0
4, small platter, 0.690203, 0
4, complaint, 0.456642, 1
4, apple slaw, 0.664996, 2
4, wine pours, 0.632008, 2
4, chicken egg rolls, 0.917597, 3
4, active weekend crowd, 0.819922, 3
4, Key lime pie, 0.820318, 7
4, popular destination, 0.607462, 7
4, pork belly app, 0.901329, 8
4, Casual dining experience, 0.826575, 8
4, dining area, 0.598371, 9
4, Excellent meal, 0.590212, 9
5, BBQ combination plates, 0.915422, 0
5, large selections, 0.755905, 0
5, sweet potato fries, 0.882855, 2
5, grilled cheese, 0.805833, 2
5, jalopeno poppers, 0.910989, 3
5, Treehouse, 0.675731, 4
5, Grilled Salmon Salad, 0.952086, 6
5, chicken sliders appetizer, 0.938564, 6
5, South Park area, 0.927292, 7
5, Pull Pork BBQ, 0.926046, 7
5, comfortable ambiance, 0.793754, 8
5, Classic Burger, 0.775096, 8
5, cornbread muffin thingies, 0.9071, 9
5, entire Charlotte area, 0.888451, 9
