rating,keyword,relevance,bucket
2, Ohhhh hooters, 0.788391, 0
2, ive been,and, 0.663315, 0
2, good service, 0.649458, 1
2, wrong drink, 0.59807, 1
2, extra sauce wings, 0.968971, 2
2, order, 0.345938, 2
2, wife, 0.293521, 6
2, game, 0.299079, 8
3, Hooters hot sauce, 0.878296, 0
3, typical Hooter decor, 0.724686, 0
3, typical bar food, 0.794043, 1
3, heat sauce, 0.6619, 2
3, terrorist attacks, 0.596335, 2
3, hot flavors, 0.598394, 3
3, time, 0.591155, 3
3, fried pickles, 0.976252, 6
3, chicken wings, 0.81354, 6
3, chicken sandwich, 0.826278, 7
3, JACKPOT, 0.444573, 7
4, Hooters degrades, 0.979629, 2
4, big breasts, 0.8029, 3
4, waitress, 0.466501, 6
4, wings, 0.592549, 7
4, kind, 0.4102, 7
4, good specials, 0.700137, 8
4, place, 0.38193, 8
