rating, keyword, relevance, bucket
2, cover charge, 0.694428, 0
2, Hard Rock, 0.675956, 0
2, fucking red piano, 0.942781, 2
2, view, 0.453746, 2
2, video screens, 0.723441, 3
2, row, 0.476586, 3
2, singalong, 0.517027, 6
2, mom, 0.4935, 6
2, real kicker, 0.754151, 7
2, Vegas trip, 0.709186, 7
3, weird ass ballet, 0.773942, 0
3, overtly sexual imagery, 0.759177, 0
3, Elton John fan, 0.896915, 1
3, background visual noise, 0.749866, 1
3, weird ass montages, 0.785344, 2
3, vids, 0.446998, 2
3, gay community, 0.595236, 3
3, songs, 0.566586, 3
3, Elton John, 0.903055, 5
3, sort, 0.476958, 5
3, good time, 0.626735, 6
3, intimate feel, 0.611484, 6
3, Sir Elton, 0.848346, 7
3, juvenile dirty joke, 0.772045, 7
3, Celine Dion, 0.622558, 8
3, little insights, 0.605547, 8
3, different coloured shirt, 0.785541, 9
3, subtle costume changes, 0.778938, 9
4, Sir Elton, 0.996122, 0
4, sin city, 0.864586, 0
4, raunch factor, 0.854236, 1
4, title, 0.381184, 1
4, Pam Anderson, 0.773408, 2
4, man, 0.478583, 2
4, subtle hint, 0.781994, 3
4, mature audiences, 0.764536, 6
4, signs, 0.380039, 6
4, cameos, 0.445777, 7
4, boas, 0.434496, 7
4, imagery, 0.399847, 8
4, funny, 0.393529, 8
4, great talent, 0.799477, 9
4, treat, 0.403812, 9
5, big Elton John, 0.480587, 0
5, era Elton, 0.434054, 0
5, Yellow Brick Road, 0.416753, 1
5, Goodbye Yellow Brick, 0.356285, 1
5, admittedly emotional girl, 0.365841, 2
5, Skinny Little Bitch, 0.364389, 2
5, Elton John fan, 0.608703, 3
5, biggest Elton John, 0.496267, 3
5, Sir Elton, 0.522344, 5
5, stage, 0.422252, 5
5, Elton John, 0.930691, 6
5, music, 0.387563, 6
5, red piano, 0.517064, 7
5, david lachapelle, 0.416941, 7
5, Hope Elton, 0.456503, 8
5, amazing stage accessories, 0.373648, 8
5, hilarious renegade commentary, 0.362501, 9
5, best time, 0.3431, 9
