rating, keyword, relevance, bucket
1, hot new club, 0.782802, 0
1, Small dance floor, 0.715304, 0
1, bad yelp review, 0.735695, 1
1, loud piss, 0.734112, 1
1, credit card, 0.904721, 2
1, huge cover charges, 0.752071, 2
1, VIP experience, 0.755416, 3
1, single people, 0.732755, 3
1, club, 0.915112, 4
1, night, 0.85154, 4
1, people, 0.8504, 5
1, money, 0.738044, 5
1, good sign, 0.649865, 6
1, drinks, 0.64979, 6
1, brilliant business model, 0.722745, 7
1, Saturday night, 0.642129, 7
1, reasonable bottle service, 0.744436, 8
2, cirque type, 0.631968, 0
2, chill lounge, 0.624794, 0
2, weird red lighting, 0.790654, 1
2, various acrobatic shows, 0.789356, 1
2, typical Vegas experience, 0.766761, 2
2, new friends, 0.610007, 2
2, talk our way, 0.603355, 3
2, suggestion, 0.48774, 3
2, FB, 0.496301, 5
2, entertainment, 0.474473, 5
2, act, 0.752241, 6
2, mobile texting, 0.612927, 6
2, guest list, 0.92582, 7
2, great concept, 0.788799, 7
2, strangest places, 0.630729, 9
2, good job, 0.587862, 9
3, Weird little acts, 0.881544, 0
3, Vodka brand, 0.733241, 0
3, free stuff, 0.68509, 1
3, dark corners, 0.676197, 1
3, invite, 0.463834, 2
3, type, 0.455786, 2
3, dance floor, 0.930723, 3
3, freaking walkway, 0.692705, 3
3, music, 0.717663, 6
3, things, 0.509234, 6
3, cool town, 0.73247, 7
3, cool clubs, 0.732251, 7
3, Interesting place, 0.726458, 8
3, fresh circumstances, 0.693412, 8
3, beat vibe, 0.748542, 9
3, Good vibe, 0.697362, 9
4, rave style place, 0.543644, 0
4, Act Afterhours, 0.534526, 0
4, dance floor, 0.925677, 2
4, small dance floor, 0.557857, 2
4, club, 0.57691, 3
4, late night, 0.554577, 3
4, Rebel Bingo, 0.580572, 4
4, Little Monsters, 0.546319, 4
4, place, 0.781078, 5
4, act, 0.747945, 5
4, Vegas, 0.675543, 6
4, Las Vegas, 0.653819, 6
4, saturday night, 0.511803, 7
4, Cirque-du-soleil dominatrix shizzzz, 0.505659, 7
4, great time, 0.560581, 8
4, good music kind, 0.548341, 8
4, good time, 0.543201, 9
4, Las Vegas standards, 0.537288, 9
5, small club, 0.606865, 0
5, distinct club, 0.600066, 0
5, dance club, 0.656342, 2
5, Las Vegas native, 0.610253, 2
5, main club, 0.683555, 3
5, dance floor, 0.677168, 3
5, club, 0.951666, 5
5, vegas, 0.836287, 5
5, Typical club attire, 0.645424, 6
5, new favorite club, 0.638083, 6
5, favorite club, 0.677685, 7
5, great music, 0.653309, 7
5, great time, 0.704666, 8
5, amazing club, 0.661507, 8
5, good time, 0.640173, 9
5, typical vegas prices, 0.605503, 9
