rating,keyword,relevance,bucket
1, cold/warm wine status, 0.99451, 0
1, wine recommendation trials, 0.983603, 0
1, non-existent tip, 0.836339, 1
1, Yelp reviews, 0.83528, 1
1, bar, 0.890621, 2
1, total disappointment, 0.875796, 2
1, white wines, 0.975286, 3
1, bottle, 0.964872, 3
1, glass, 0.685177, 4
1, vibe, 0.698127, 7
1, entitled pet project, 0.977383, 8
1, southern hospitality, 0.821303, 8
3, High Life Light, 0.943889, 0
3, NoDa resident friends, 0.627509, 0
3, miss experience, 0.389227, 1
3, wine bar, 0.551445, 3
3, pita chips, 0.382013, 3
3, DV, 0.235656, 4
3, Dolce Vita, 0.616216, 5
3, festive air, 0.41296, 6
3, birthday boy, 0.399137, 6
3, sushi night, 0.800244, 7
3, glowing refrigerator case, 0.614175, 7
3, eclectic beer selection, 0.589247, 8
3, Dos Equis, 0.423966, 8
3, staff, 0.234773, 9
4, cute little place, 0.619801, 0
4, small little bar, 0.611402, 0
4, little wine bar, 0.620105, 1
4, organic little wines, 0.55218, 1
4, wine bars, 0.582335, 2
4, big fancy feast, 0.54247, 2
4, wine connoisseur, 0.519622, 3
4, wine bar, 0.950064, 4
4, menu, 0.594803, 5
4, place, 0.740249, 6
4, intimate wine bar, 0.607445, 6
4, half-price wine night, 0.613986, 7
4, proper NoDa charm, 0.609827, 7
4, Dolce Vita, 0.938396, 8
4, noda, 0.712239, 8
4, great place, 0.603056, 9
4, great flavor, 0.560632, 9
5, biker wine bar, 0.506325, 0
5, Dolce memory, 0.439348, 0
5, unique wine bar, 0.507679, 1
5, great little lounge, 0.44483, 3
5, wine bar, 0.677429, 4
5, Charlotte, 0.418001, 4
5, place, 0.603764, 5
5, wine, 0.741937, 6
5, chill wine bar, 0.506807, 6
5, favorite wine bar, 0.555589, 7
5, high wine IQ, 0.477538, 7
5, Dolce Vita, 0.916807, 8
5, Dolce Vita Wine, 0.576552, 8
5, wine selection, 0.590866, 9
5, good wine selection, 0.471636, 9
