rating,keyword,relevance,bucket
4, cut Italian bread, 0.867524, 0
4, fish sandwich, 0.585217, 0
4, cuisine, 0.214517, 2
4, complaints, 0.210423, 2
4, dining room, 0.557063, 3
4, supper, 0.217831, 3
4, grilled cheese, 0.569151, 6
4, ) style., 0.532828, 6
4, meatball grill, 0.630654, 7
4, bud pleasing home, 0.989001, 8
4, style cooking, 0.543412, 8
5, endless soup, 0.694775, 0
5, salad bar, 0.63478, 0
5, evenings, 0.395318, 2
5, Italian dinners, 0.668751, 6
5, great atmosphere, 0.599239, 6
5, Good place, 0.603943, 7
5, Great bar, 0.551974, 7
5, best fish sandwich, 0.942974, 8
5, sandwiches, 0.410052, 8
