rating,keyword,relevance,bucket
1, university alumni group, 0.639962, 0
1, college ball games, 0.636177, 0
1, terrible experience, 0.649924, 1
1, worst customer service, 0.642626, 1
1, customer service, 0.860945, 2
1, bar, 0.667057, 2
1, people, 0.7427, 3
1, waitress, 0.719034, 3
1, table, 0.976744, 4
1, food, 0.947654, 4
1, beer, 0.695168, 5
1, new beer, 0.691644, 5
1, restaurant industry, 0.641189, 6
1, Fox Sports Grill, 0.633739, 6
1, camelback location, 0.642277, 7
1, good conscience return, 0.631151, 7
1, good service, 0.609477, 9
2, regular caesar salad, 0.854692, 0
2, customer service experiences, 0.819262, 0
2, waitress, 0.774757, 1
2, redneck big truck, 0.770066, 1
2, colassal salad, 0.790179, 2
2, non meat eater, 0.774431, 2
2, food, 0.872605, 3
2, food meh, 0.731271, 3
2, service, 0.911522, 4
2, customer service, 0.851034, 4
2, zipps, 0.76329, 5
2, place, 0.734745, 5
2, caesar salad, 0.974651, 6
2, chicken caesar salad, 0.851024, 6
2, better service experience, 0.792995, 7
2, mushroom Swiss burger, 0.774338, 7
2, amazing customer service, 0.790951, 8
2, best sports bar, 0.759647, 8
2, great customer service, 0.795188, 9
2, highly commended restaurant, 0.758804, 9
3, bar mexican food, 0.522219, 0
3, Decent American food, 0.517665, 0
3, Standard bar food, 0.553455, 1
3, divey sports bar, 0.50974, 1
3, typical bar food, 0.578406, 2
3, typical sports bar, 0.570612, 2
3, sports bar, 0.955473, 3
3, onion rings, 0.612705, 3
3, wings, 0.745279, 4
3, service, 0.650528, 4
3, food, 0.876366, 5
3, place, 0.704133, 5
3, golden medium wings, 0.576932, 6
3, good specials, 0.507522, 6
3, happy hour specials, 0.556677, 7
3, good wing combination, 0.510053, 7
3, great place, 0.613693, 8
3, good place, 0.53428, 8
3, pretty good deal, 0.52753, 9
4, favorite sports bar, 0.531144, 0
4, typical sports bar, 0.528632, 0
4, bar food people, 0.544283, 1
4, sports bar, 0.938382, 2
4, sports bar food, 0.580378, 2
4, bar food, 0.794156, 3
4, decent bar food, 0.581418, 3
4, onion rings, 0.699656, 4
4, time, 0.687017, 4
4, food, 0.859771, 5
4, wings, 0.827257, 5
4, golden wings, 0.68722, 6
4, beer, 0.573965, 6
4, fish tacos, 0.615323, 7
4, great service, 0.592447, 7
4, great place, 0.600985, 8
4, good food, 0.572186, 8
4, pretty good wings, 0.592055, 9
4, great great veggie, 0.549902, 9
5, Great classic bar, 0.620208, 0
5, great outdoor patio, 0.601445, 0
5, shuffle board, 0.546444, 1
5, old town, 0.533254, 1
5, zipps wings, 0.71166, 2
5, miss zipps wings, 0.655399, 2
5, good bar food, 0.604158, 3
5, onion rings, 0.596331, 3
5, sports bar, 0.770174, 4
5, wings, 0.916914, 5
5, bar food, 0.911942, 5
5, great outdoor bar, 0.617538, 6
5, hands-on sports experience, 0.561469, 6
5, hot wings, 0.688211, 7
5, golden style wings, 0.644923, 7
5, great place, 0.799792, 8
5, Great wings, 0.677838, 8
5, great local neighborhood, 0.565782, 9
5, great service, 0.522824, 9
