rating, keyword, relevance, bucket
1, worst customer service, 0.890884, 0
1, hand sanitizer, 0.755993, 0
1, sad thing, 0.698292, 1
1, wall bar, 0.698014, 1
1, obese woman..BBW, 0.729227, 2
1, confident bartenders.Id, 0.727659, 2
1, bar, 0.924774, 3
1, Sarah, 0.832498, 3
1, place, 0.705555, 5
1, time, 0.632408, 5
1, chill dive bar, 0.904788, 6
1, Great dive bar, 0.845105, 6
1, prior post, 0.709421, 7
1, consistent customer, 0.699191, 7
1, tall boy beers, 0.843893, 8
1, Good god, 0.732374, 8
1, internet consumers, 0.689803, 9
2, moderately priced drinks, 0.906199, 0
2, weird place, 0.704083, 0
2, mace, 0.391076, 2
2, afternoon, 0.386352, 2
2, thats ok, 0.756165, 6
2, bar.Lady bartender, 0.656124, 6
2, waitresses, 0.416418, 8
3, credit card transactions, 0.881541, 0
3, Cheba Hut, 0.713356, 0
3, young people, 0.707184, 1
3, biggest complaint, 0.69357, 1
3, drink potty party, 0.948388, 2
3, food, 0.444166, 2
3, Uncle Monkeys, 0.680927, 3
3, mile walk, 0.640134, 3
3, drinks, 0.522594, 5
3, pool tables, 0.879421, 6
3, mobile device, 0.671928, 6
3, good drink specials, 0.921699, 7
3, 21st century people, 0.891474, 7
4, 5-7 pm, 0.634474, 0
4, wings, 0.358951, 0
4, drink specials, 0.812724, 2
4, line, 0.256172, 2
4, cute little dive, 0.967797, 6
4, credit cards, 0.589221, 6
5, small pitcher Thursdays, 0.890706, 0
5, drunken Saturday, 0.753908, 0
5, bars, 0.466898, 3
5, Service, 0.446172, 3
5, absolute favorite bar, 0.929254, 6
5, Sunday night, 0.66249, 6
5, place, 0.491666, 7
5, drinking, 0.476401, 7
5, drink prices, 0.683333, 8
5, great singers, 0.659881, 8
