rating, keyword, relevance, bucket
1, Line forms, 0.612307, 0
1, fruity drink, 0.602545, 0
1, bad enough taste, 0.608051, 1
1, bouncers, 0.534225, 1
1, text messaging, 0.6004, 2
1, Hard Rock, 0.589259, 2
1, problems, 0.360099, 3
1, bed, 0.354613, 3
1, pool, 0.965988, 4
1, Vegas, 0.490504, 4
1, pool party, 0.807695, 5
1, place, 0.506335, 5
1, pool parties, 0.613734, 6
1, Free admission, 0.612416, 6
1, big pool party, 0.802359, 7
1, nice health club, 0.819363, 8
1, popular pool scenes, 0.797966, 8
2, general admission, 0.804169, 0
2, Encore beach club, 0.791049, 0
2, disaster, 0.533082, 1
2, Club Nikki, 0.7511, 2
2, huge disappointment, 0.671501, 2
2, club portion, 0.674303, 3
2, space, 0.533743, 3
2, promoter, 0.545159, 6
2, Nikki Beach, 0.98939, 7
2, beginners jitters, 0.692094, 7
2, big casino corporations, 0.801409, 8
2, intimate environment, 0.6861, 8
2, relaxing place, 0.661146, 9
3, old fashioned way, 0.878112, 0
3, main focus, 0.737711, 0
3, Nikki Beach, 0.923858, 1
3, Horrible beer selection, 0.915717, 1
3, frat party, 0.922132, 2
3, frat party beer, 0.91475, 2
3, guy, 0.621969, 3
3, place, 0.609728, 3
3, people, 0.844784, 5
3, SCENE, 0.547286, 6
3, MJ impersonator, 0.717238, 7
3, Vegas, 0.630834, 7
3, disturbing Joker ala, 0.899754, 8
3, Michael Jackson impersonator, 0.895252, 8
3, great mix, 0.744015, 9
3, fun time, 0.733578, 9
4, Bottle service areas, 0.779832, 0
4, beach club, 0.663773, 0
4, Britney Spears, 0.640883, 1
4, Encore beach, 0.639965, 1
4, half past opening, 0.742604, 2
4, average Vegas prices, 0.725069, 2
4, host contact, 0.641951, 3
4, F&B minimum, 0.637222, 4
4, beach, 0.673357, 5
4, pool gift shop, 0.778123, 6
4, Vegas pool party, 0.753614, 6
4, pool, 0.811202, 7
4, story Club Nikki, 0.800881, 7
4, White decor, 0.651629, 8
4, actual beach, 0.650722, 8
4, pretty cool place, 0.927444, 9
4, Great view, 0.653358, 9
5, Encore Beach Club, 0.679585, 0
5, fun Vegas style., 0.651772, 0
5, male sex security, 0.635228, 2
5, flat screen TV, 0.620908, 2
5, Wet Republic, 0.652538, 3
5, numerous drunk college, 0.640945, 3
5, insanely comfy couches, 0.629571, 4
5, clubs, 0.532265, 4
5, Nikki Beach, 0.976393, 5
5, Tropicana, 0.639988, 5
5, Club Nikki, 0.702021, 6
5, brand new cabanas, 0.615109, 6
5, night club, 0.787059, 7
5, beach club, 0.762081, 7
5, dance floor, 0.625428, 8
5, highly attractive folks, 0.619773, 8
5, beautiful white oasis, 0.614, 9
5, Awesome right, 0.540177, 9
