rating,keyword,relevance,bucket
1, white chewing salmon, 0.887393, 0
1, un-service oriented person, 0.867926, 0
1, Caesar salad, 0.664817, 1
1, Italian restaurant, 0.649197, 1
1, crowd. bad service, 0.936813, 2
1, disgusting sauce, 0.728518, 2
1, pork loin, 0.72444, 3
1, restaurants.com coupon, 0.719282, 3
1, restaurant, 0.811135, 4
1, reviews, 0.515989, 5
1, great food, 0.637503, 6
1, Restaurant.Com, 0.468499, 6
1, gift certificate, 0.909731, 7
1, tv dinner, 0.665433, 7
1, plain gift certificate, 0.84363, 8
1, staff members, 0.663289, 8
2, little Italian places, 0.832038, 0
2, bland marinara, 0.698075, 0
2, Mediterrean chicken, 0.682713, 1
2, house salads, 0.649197, 2
2, completely different sauces, 0.867185, 3
2, food, 0.698274, 3
2, mushroom sauce, 0.939298, 6
2, restaurant.com gift certificate, 0.878417, 6
2, brandy mushroom sauce, 0.916819, 7
2, amazing reviews, 0.677178, 7
2, double stack, 0.661423, 8
3, delicious Italian options, 0.876101, 0
3, average garlic bread, 0.870339, 0
3, tiny little clams, 0.928655, 1
3, especially  eggplant parm, 0.893704, 1
3, creme brûlée, 0.846397, 2
3, marinara sauce, 0.826087, 2
3, romantic little neighborhood, 0.861366, 3
3, wonderful start, 0.731596, 3
3, meat lasagna, 0.747437, 4
3, house salad, 0.898643, 5
3, white clam sauce, 0.854869, 6
3, back. basic food, 0.844071, 6
3, countless baby clams, 0.92098, 7
3, chain Italian restaurants, 0.835531, 7
3, cozy little restaurant, 0.859237, 8
3, good price, 0.758932, 8
3, okay vodka sauce, 0.903038, 9
3, Creme Brulee, 0.75154, 9
4, piano player, 0.696965, 0
4, marinara type sauce, 0.690688, 0
4, strip mall location, 0.995306, 2
4, Tapatio Cliff resort, 0.707242, 2
4, butternut squash ravioli, 0.89237, 3
4, awkward strip mall, 0.703993, 3
4, olive garden, 0.709833, 4
4, place, 0.651152, 5
4, nice little neighborhood, 0.711913, 6
4, southern Italian specialties, 0.671539, 6
4, native Long Islander, 0.679338, 7
4, lemon caper sauce, 0.675389, 7
4, Friday night, 0.713598, 8
4, moon valley, 0.71201, 8
4, perfectly seasoned marinara, 0.693235, 9
4, good dining experience, 0.691321, 9
5, nut squash ravioli, 0.409902, 0
5, Ravioli di Zucca, 0.347115, 0
5, butternut ravioli, 0.310079, 1
5, big cream sauce, 0.276425, 3
5, strip mall location, 0.237334, 3
5, chain Italian restaurants, 0.261555, 4
5, butternut squash ravioli, 0.969628, 5
5, cream sauce, 0.335875, 5
5, strip mall, 0.330149, 6
5, walnut cream sauce, 0.288611, 6
5, zucca ravioli, 0.362953, 7
5, eggplant parmesan, 0.257883, 7
5, place, 0.412745, 8
5, service, 0.328632, 8
5, great place, 0.339161, 9
5, great food, 0.327607, 9
