rating, keyword, relevance, bucket
1, sad mean person, 0.622454, 0
1, disrespectful young lady, 0.619141, 0
1, broke white trash, 0.666961, 1
1, sad thing, 0.344159, 1
1, Amanda, 0.6619, 2
1, great service, 0.652885, 2
1, husband, 0.884482, 4
1, Lingo, 0.547174, 4
1, ongoing problem, 0.688459, 6
1, sports bar, 0.937001, 7
1, Valentines night, 0.366187, 9
3, smoke hookah, 0.849191, 0
3, video poker, 0.759933, 0
3, neighborhood bar, 0.757951, 1
3, everybody, 0.418455, 1
3, people, 0.483239, 2
3, afternoon, 0.435388, 2
3, times, 0.394643, 3
3, comped drinks, 0.920434, 8
3, Bartender service, 0.883494, 8
3, Aliante Casino, 0.999778, 9
3, nice vibe, 0.928603, 9
4, island ice tea, 0.931128, 0
4, stiff jack, 0.790215, 0
4, laughs, 0.50385, 3
4, drinks, 0.606255, 6
4, Lingo, 0.503595, 6
4, fun, 0.449812, 7
4, dancers, 0.471588, 8
4, best dancer, 0.706628, 9
4, Asian girl, 0.679485, 9
5, Aliante casino, 0.719097, 0
5, hip bar, 0.682894, 0
5, touchy staff person, 0.850093, 1
5, draft beer, 0.647193, 1
5, gym clothes, 0.666215, 2
5, bum, 0.459949, 2
5, live entertainment, 0.684686, 3
5, big deal, 0.657999, 3
5, ETA Lounge, 0.93467, 5
5, usual bartender, 0.68985, 6
5, different environment, 0.676442, 6
5, couple go-go dancers, 0.84005, 7
5, trivia night, 0.66989, 7
5, great place, 0.889277, 8
5, great drinks, 0.672283, 8
5, attentive staff, 0.767464, 9
5, Reasonable prices, 0.694377, 9
