rating, keyword, relevance, bucket
3, different games, 0.783707, 0
3, TVs, 0.53701, 0
3, Waitress, 0.588475, 1
3, eat, 0.520919, 1
3, aarp card, 0.911912, 2
3, snowbird season, 0.905399, 2
4, beef hash, 0.446404, 0
4, Mirage Sports Grill, 0.900028, 2
4, spicy Mexican skillet, 0.891364, 7
4, Nutella Crepes, 0.605109, 7
4, lunch party, 0.505085, 8
4, great food, 0.497503, 8
5, Bloody Mary, 0.581178, 0
5, Direct TV, 0.531014, 0
5, Bla bla bla, 0.979477, 2
5, bar oh ya, 0.691567, 2
5, philly cheese wrap, 0.703798, 3
5, chicken, 0.443561, 3
5, Amazing food, 0.548708, 8
5, YUMMY, 0.47636, 8
