rating, keyword, relevance, bucket
1, douchey clothing item, 0.784041, 0
1, CASA DEL POPOLO, 0.755661, 0
1, little door policy, 0.778566, 1
1, drinks suck, 0.712991, 1
1, cocktail bar, 0.92006, 2
1, crappy overpriced drinks, 0.849381, 2
1, Little Branch, 0.677321, 3
1, certain sophistication, 0.670856, 3
1, people, 0.558306, 4
1, place, 0.704488, 5
1, New York, 0.811504, 6
1, native Montrealer, 0.681011, 6
1, good drink, 0.666778, 7
1, good place, 0.69838, 8
1, Jersey Shore way, 0.787628, 9
2, cocktail bars, 0.764521, 0
2, fine potion, 0.742135, 0
2, manifestly foolish concoctions, 0.890829, 1
2, page ads, 0.736755, 1
2, Baldwin Barmacie, 0.910438, 2
2, pallid white decor, 0.881492, 2
2, must-try list, 0.911016, 3
2, cocktail, 0.78846, 3
2, MMA skills, 0.894541, 7
2, craft cocktail, 0.760107, 7
2, tasty cocktails, 0.722891, 8
2, weekday date, 0.685459, 9
3, Mad Men season, 0.863202, 0
3, grilled cheese sandwich, 0.835919, 0
3, head count, 0.639575, 1
3, certain elements, 0.635787, 1
3, bloody Mary mix, 0.850572, 2
3, dirty martini, 0.68051, 2
3, dirty bloody martini, 0.903626, 3
3, fancier cocktails, 0.700004, 3
3, good concept, 0.670177, 6
3, Beefeater, 0.476788, 6
3, Good drinks, 0.680447, 7
3, evening, 0.496192, 7
3, completely different vibe, 0.873455, 8
3, higher quality liquor, 0.871635, 8
3, favorite cocktails, 0.665778, 9
3, delicious combination, 0.642027, 9
4, Le service est, 0.974313, 0
4, Jj'adore le design, 0.961658, 0
4, unbelievably cheap bottle, 0.945366, 1
4, chalky white liquid, 0.931316, 1
4, glossy white bar, 0.993518, 2
4, Baldwin halfway, 0.901081, 2
4, post first-year student, 0.942105, 3
4, Thursday Montreal nights, 0.928521, 3
4, Baldwin, 0.917785, 4
4, et chic pour, 0.956252, 6
4, cocktail d'après diner, 0.941181, 6
4, Good date place, 0.977763, 7
4, cool artsy types, 0.975075, 7
4, le tout sur, 0.987009, 8
4, great cocktail bar, 0.977389, 8
4, trip. unique drinks, 0.966572, 9
4, gorgeous blown amber, 0.927394, 9
5, aller au barmacie, 0.815915, 0
5, réglé juste comme, 0.809164, 0
5, Baldwin Barmacie, 0.873168, 1
5, friendly female bartender, 0.819357, 1
5, qui nous permet, 0.798699, 3
5, legal drinking age, 0.798456, 3
5, place, 0.872268, 6
5, assez chic mais, 0.807717, 6
5, grilled cheese, 0.96153, 7
5, bourbon punch, 0.845299, 7
5, drinks, 0.863885, 8
5, Peter Great drinks, 0.852652, 8
5, great drinks, 0.856468, 9
5, great atmosphere, 0.825642, 9
