rating, keyword, relevance, bucket
2, cheese types, 0.846569, 0
2, bottled water, 0.832569, 0
2, service, 0.561992, 1
2, Press, 0.636719, 2
2, visit, 0.579137, 2
2, bottles, 0.573166, 3
2, table, 0.561063, 3
2, cheese tray, 0.99887, 4
2, sound check, 0.789773, 6
2, order wine, 0.786712, 6
2, small trio, 0.810709, 8
2, Friday evening, 0.805885, 8
3, nice little stop, 0.87204, 0
3, sushi rolls, 0.780324, 0
3, Charlotte places, 0.68239, 1
3, bartender, 0.591292, 1
3, descent wine bars, 0.846932, 2
3, waitress, 0.730773, 2
3, extra beer, 0.703099, 3
3, bad thing, 0.697684, 3
3, wine, 0.989768, 6
3, wait staff, 0.69411, 6
3, after-work type crowd, 0.913639, 7
3, cheese plate, 0.865227, 7
3, large wine selection, 0.929602, 8
3, loud band, 0.682498, 8
3, shot wine connoisseur, 0.900873, 9
3, extensive wine list, 0.874933, 9
4, nice little wine, 0.594359, 0
4, specialty sushi rolls, 0.58436, 0
4, Good salad bar, 0.544272, 1
4, killer sushi, 0.539592, 1
4, fully stocked wine, 0.571047, 2
4, favorite Press roll, 0.537106, 2
4, sushi, 0.748775, 4
4, wine, 0.943609, 5
4, place, 0.766575, 5
4, wine selection, 0.596572, 6
4, insanely good wine, 0.595016, 6
4, Press signature sushi, 0.607539, 7
4, pretty decent Sushi, 0.591214, 7
4, great place, 0.61383, 8
4, Good wine selection, 0.595277, 8
4, time great wine, 0.634876, 9
4, great location, 0.632291, 9
5, BBQ Pulled Pork, 0.872485, 0
5, Barrel Select Carmenere, 0.844449, 0
5, favorite little places, 0.890078, 1
5, quiet date night, 0.842984, 6
5, half price bottles, 0.817003, 6
5, favorite new restaurants, 0.902805, 7
5, warm BBQ eel, 0.879567, 7
5, great place, 0.862479, 8
5, high quality evoo, 0.846293, 8
5, surprisingly good sushi, 0.930698, 9
5, absolute favorite spots, 0.880121, 9
