rating, keyword, relevance, bucket
3, Went last night, 0.67688, 0
3, lame night, 0.641607, 0
3, kinda, 0.53096, 1
3, high school thugs, 0.943589, 2
3, odd area, 0.692815, 2
3, apple heads, 0.637854, 3
3, friday night, 0.621971, 3
3, place, 0.44987, 6
3, people, 0.444501, 6
3, facebook page, 0.656984, 8
3, super friendly staff, 0.896141, 9
4, good hookah bar, 0.90098, 0
4, flavor menu, 0.580979, 0
4, weekends, 0.296317, 2
4, atmosphere, 0.42643, 6
4, super chill, 0.576807, 8
4, hookah lounge, 0.725104, 9
5, non-Tempe hookah lounge, 0.850088, 0
5, bad hookah experience, 0.834023, 0
5, Thunder event, 0.42949, 1
5, garbage Kings, 0.42585, 1
5, Main Stage Corporate, 0.551917, 2
5, Rockstar Energy Drink, 0.549936, 2
5, Pinterested Rob Zombie, 0.540907, 3
5, ta testify, 0.442747, 3
5, hookah places, 0.837511, 4
5, hookah, 0.994865, 5
5, extra fly, 0.6321, 6
5, crisp sleeveless Harley-Davidson, 0.558275, 6
5, Sky High experience, 0.528123, 7
5, best lounge ive, 0.52392, 7
5, go-to hookah lounge, 0.754244, 8
5, unlimited hookah, 0.673113, 8
5, hookah lounge, 0.854966, 9
5, Fantastic hookah lounge, 0.748215, 9
