rating, keyword, relevance, bucket
1, hot dog, 0.789212, 0
1, St Louis Ribs, 0.652625, 0
1, chicken sandwich, 0.644018, 1
1, worst customer service, 0.640493, 1
1, turkey sandwich, 0.661681, 2
1, sports bar, 0.641568, 2
1, food, 0.935165, 3
1, alice cooper, 0.867983, 3
1, wait staff, 0.809793, 4
1, restaurant, 0.647372, 4
1, place, 0.781323, 5
1, money, 0.590696, 5
1, school cafeteria food, 0.669227, 6
1, people, 0.625077, 6
1, man vs, 0.651586, 7
1, BBQ sampler thing, 0.643649, 7
1, Hard Rock Cafe, 0.645717, 8
1, Fast good quality, 0.630273, 8
2, basic hosptial food, 0.509896, 0
2, extra greasy food, 0.507149, 0
2, uneventful food, 0.480937, 1
2, good food, 0.537138, 2
2, typical bar food, 0.531592, 2
2, big unit, 0.994155, 3
2, hot dog, 0.665421, 3
2, food, 0.813742, 4
2, Alice Cooper, 0.724015, 4
2, bar, 0.568529, 5
2, table, 0.491408, 5
2, Alice Cooper eye, 0.496897, 6
2, chili cheese fries, 0.486835, 6
2, Alice Cooper fan, 0.558496, 7
2, average American food, 0.495417, 7
2, bbq sauce, 0.511433, 8
2, Alice Cooperstown, 0.500199, 8
2, good place, 0.4797, 9
3, unit hot dog, 0.482164, 0
3, good bar food, 0.458236, 0
3, sports bar food, 0.456521, 1
3, little hot dog, 0.399691, 1
3, big unit hotdog, 0.477119, 2
3, gigantic hot dog, 0.419187, 2
3, big unit, 0.875538, 3
3, huge hot dog, 0.430903, 3
3, food, 0.712592, 4
3, best hot dog, 0.433412, 4
3, alice cooper, 0.921538, 5
3, hot dog, 0.865514, 5
3, bar food, 0.596778, 6
3, hard rock cafe, 0.541082, 6
3, long hot dog, 0.503377, 7
3, ala Alice Cooper, 0.448935, 7
3, great place, 0.434998, 8
3, generic bar food, 0.413087, 8
3, fun place, 0.492226, 9
4, Big Unit Dog, 0.466502, 0
4, big sports fan, 0.460088, 0
4, sports bar food, 0.46886, 2
4, typical sports bar, 0.46335, 2
4, man vs food, 0.48249, 3
4, best bar food, 0.479349, 3
4, big unit, 0.965552, 4
4, Alice Cooper, 0.679803, 4
4, hot dog, 0.81155, 5
4, food, 0.632917, 5
4, place, 0.619407, 6
4, good food, 0.537563, 6
4, Alice Cooper fan, 0.507174, 7
4, inch hot dog, 0.460618, 7
4, Alice Cooperstown, 0.553309, 8
4, great place, 0.491429, 8
4, fun good time, 0.458912, 9
4, atmosphere. great place, 0.457272, 9
5, alice cooper theme., 0.586377, 0
5, Big Unit Hot, 0.57487, 0
5, sports bar, 0.560186, 1
5, Alice Cooper fan, 0.570535, 3
5, ginormous hot dog, 0.551685, 3
5, big unit, 0.954276, 5
5, alice cooper, 0.814918, 5
5, place, 0.705077, 6
5, unit hot dog, 0.656555, 6
5, awesome hot dog, 0.591701, 7
5, Alice Cooper'stown, 0.562562, 7
5, great place, 0.675725, 8
5, alice cooperstown, 0.617275, 8
5, food  big unit, 0.586446, 9
5, Surprisingly great place, 0.579018, 9
