rating,keyword,relevance,bucket
1, Sunday night Salsa, 0.917513, 0
1, salsa group lessons, 0.884384, 0
1, privates, 0.290969, 1
1, distractions, 0.288008, 1
1, private lesson, 0.556927, 2
1, small ballrooms, 0.55263, 2
1, Paragon, 0.611679, 3
1, noisy zoo, 0.603231, 3
1, quality, 0.354502, 7
1, partner, 0.258724, 7
1, main goal, 0.529277, 8
1, advantages, 0.266629, 8
1, great deal, 0.509864, 9
1, McDonald, 0.259548, 9
3, bad place, 0.739328, 0
3, Fat Cat, 0.700968, 0
3, West Coast Swing, 0.952679, 1
3, weird aches, 0.71717, 1
3, plantar thingy, 0.765423, 2
3, new guests, 0.737868, 2
3, plantar fascitis, 0.728552, 3
3, whim, 0.483914, 3
3, dance pattens, 0.730146, 6
3, briefing, 0.463933, 6
3, ample parking, 0.707869, 7
3, center, 0.459152, 7
3, appropriate level, 0.708868, 8
3, convenient location, 0.694164, 8
3, good time dancing, 0.912826, 9
4, free tango class, 0.953841, 0
4, hor dourves, 0.804893, 0
4, mins, 0.579928, 1
4, lessons, 0.551381, 1
4, little rude, 0.809365, 2
4, big deal, 0.808483, 2
4, woman, 0.552366, 3
4, couples, 0.551849, 3
4, ballroom dance crowd, 0.994914, 6
4, dance instruction times, 0.976061, 6
4, super patient, 0.784306, 7
4, beginner dancers, 0.779079, 7
4, Friday night, 0.774735, 8
4, skill level, 0.772717, 8
4, Great place, 0.764583, 9
4, floor, 0.562302, 9
5, intermediate group lessons, 0.600886, 0
5, alternate cheap option, 0.585275, 0
5, Fred Astaire, 0.60108, 2
5, bucks, 0.28067, 2
5, West Coast Swing, 0.959363, 3
5, dance lesson, 0.407147, 3
5, partners, 0.263346, 4
5, new stuff, 0.399315, 6
5, course, 0.237427, 6
5, different ballroom style, 0.543277, 7
5, student ID, 0.41229, 7
5, Instructor Robert Campos, 0.564043, 8
5, best WCS instructors, 0.557422, 8
5, large crowds, 0.559805, 9
5, excellent quality, 0.387229, 9
