rating, keyword, relevance, bucket
1, husband, 0.41577, 0
1, waiter, 0.316235, 0
1, lunch, 0.296845, 1
1, stars, 0.290547, 1
1, time, 0.804005, 2
1, food, 0.637086, 2
1, big fan, 0.66883, 3
1, table, 0.35702, 3
1, place, 0.421615, 4
1, chance, 0.413707, 4
1, chicken sandwich, 0.941297, 6
1, NFL games, 0.568401, 6
2, Wisconsin basketball game, 0.840187, 0
2, bland stuff, 0.836779, 0
2, lemon pepper wings, 0.816563, 1
2, random apartment complex, 0.789727, 1
2, sports bar, 0.926461, 2
2, sports bar food, 0.876342, 2
2, typical pub food, 0.810482, 3
2, closest place, 0.738626, 3
2, place, 0.896615, 4
2, food, 0.885255, 4
2, chicken salad, 0.830479, 5
2, hotel, 0.722654, 5
2, customer service skills, 0.81394, 6
2, veggie salad, 0.74529, 6
2, utterly chitty experience, 0.851921, 7
2, better tasting food, 0.838008, 7
2, convenient place, 0.74118, 8
2, better interpersonal skills, 0.80384, 9
3, Pretty good service, 0.521637, 0
3, pretty good place, 0.510804, 0
3, true sports fans, 0.453654, 1
3, food bar food, 0.494269, 2
3, standard bar type, 0.448531, 2
3, bar food, 0.655648, 3
3, typical sports bar, 0.544588, 3
3, sports bar, 0.90552, 4
3, place, 0.636198, 5
3, Jocks, 0.459363, 5
3, clean sports bar, 0.504114, 6
3, salad, 0.498665, 6
3, regular bar food, 0.578641, 7
3, turkey burger, 0.481096, 7
3, great place, 0.551017, 8
3, sweet potato tots, 0.501695, 8
3, Pretty good selection, 0.480951, 9
3, pretty solid spot, 0.446566, 9
4, big variety choice, 0.907016, 0
4, sports-themed restaurant, 0.750052, 0
4, Miller Lite drafts, 0.953386, 2
4, young bartender, 0.770216, 2
4, grilled fish tacos, 0.98859, 6
4, favorite beer, 0.664593, 6
4, mahi-mahi sandwich, 0.801076, 7
4, lunch special, 0.736601, 7
4, sweet potato ones, 0.916788, 8
4, great price, 0.652456, 8
4, BBQ pork yummy, 0.913832, 9
4, good local beers, 0.880345, 9
5, fancy food head, 0.945332, 0
5, gagillion flat screens, 0.919129, 0
5, typical sports bar, 0.902765, 1
5, credit card, 0.798398, 1
5, cheap beer, 0.771348, 2
5, people, 0.660702, 2
5, great sports bar, 0.965825, 3
5, manager, 0.662559, 3
5, airport, 0.659919, 5
5, fish tacos, 0.77683, 6
5, great bar food, 0.986755, 7
5, staff remember regulars, 0.909293, 7
5, Great customer service, 0.965192, 8
5, best tater tots, 0.955898, 8
5, Great beer selection, 0.931917, 9
5, nice cold beer, 0.904173, 9
