rating, keyword, relevance, bucket
1, musical guest, 0.548348, 0
1, Lost Leaf, 0.940661, 1
1, sorry Lost Leaf, 0.888479, 1
1, unsustainable flood, 0.561589, 2
1, disdain, 0.246037, 2
1, establishment, 0.20011, 3
1, rest bottles, 0.55558, 6
1, appeals, 0.20413, 7
1, excellent selection, 0.608615, 8
1, Great location, 0.593841, 8
1, homey feeling, 0.757094, 9
1, small chat, 0.582343, 9
2, cool little home, 0.918523, 0
2, oriental massage parlor, 0.839038, 0
2, Lost Leaf, 0.704181, 1
2, redeeming quality, 0.685972, 1
2, surly kids, 0.686202, 2
2, skinny jeans, 0.670079, 2
2, biggest thing, 0.694698, 3
2, good bars, 0.66065, 3
2, bar/art gallery, 0.64615, 4
2, downtown, 0.494555, 4
2, neon OPEN sign, 0.844643, 6
2, awesome hang, 0.666819, 6
2, hospitality industry, 0.664153, 7
2, refrigerator, 0.460618, 7
2, beer selection, 0.637985, 8
3, half naked pictures, 0.519, 0
3, shady looking street, 0.517339, 0
3, light rail, 0.523278, 1
3, dinner/pub crawl thingy, 0.516545, 1
3, huge beer drinker, 0.548223, 2
3, fraternity house, 0.520002, 2
3, bar, 0.674145, 3
3, different beers, 0.562694, 3
3, Lost Leaf, 0.983832, 4
3, friday, 0.582486, 4
3, beers, 0.634801, 5
3, night, 0.626124, 5
3, beer, 0.798475, 6
3, place, 0.711703, 6
3, great place, 0.595661, 7
3, beer menu online, 0.539765, 7
3, live music, 0.637286, 8
3, pretty impressive beer, 0.597881, 8
3, beer selection, 0.713007, 9
3, excellent beer selection, 0.654691, 9
4, mix-n-match beer section, 0.561428, 0
4, little downtown bar, 0.558482, 0
4, cool little bar, 0.55883, 2
4, dark beer kinda, 0.552644, 2
4, biggest beer selection, 0.563532, 3
4, beer snob friend, 0.560809, 3
4, bar, 0.730713, 4
4, house, 0.570861, 4
4, lost leaf, 0.977898, 5
4, beer, 0.809089, 5
4, beers, 0.623886, 6
4, great little spot, 0.57579, 6
4, main bar area, 0.55654, 7
4, pub-like house bar, 0.555136, 7
4, great beer selection, 0.629441, 8
4, bottled beer selection, 0.611582, 8
4, cool place, 0.570285, 9
4, Good cold beer, 0.564131, 9
5, Lost Leaf vibe, 0.575424, 0
5, Lost Leaf Coming, 0.571552, 2
5, best beer selection, 0.56098, 3
5, area. great selection, 0.549228, 3
5, house, 0.577447, 4
5, time, 0.555844, 4
5, lost leaf, 0.957303, 5
5, place, 0.777386, 5
5, beer selection, 0.733848, 6
5, art, 0.605148, 6
5, -Huge beer selection, 0.564343, 7
5, varied beer selection, 0.559573, 7
5, live music, 0.675216, 8
5, great place, 0.61258, 8
5, great beer selection, 0.578566, 9
5, End Great place, 0.569263, 9
