rating, keyword, relevance, bucket
1, right place, 0.985078, 0
1, bucks, 0.806997, 0
1, favor, 0.83575, 7
1, Fat, 0.783556, 7
3, slush flavors, 0.694569, 0
3, extra dollar, 0.676126, 0
3, goddamn booze slushy, 0.844994, 1
3, Mandalay Bay, 0.661601, 1
3, huge kick, 0.661236, 2
3, movie theatre, 0.633778, 2
3, huge mixed drinks, 0.922866, 3
3, Yager bomb, 0.669022, 3
3, boozy slushies, 0.935622, 4
3, refillable plastic cups, 0.894825, 6
3, smaller cups, 0.65696, 6
3, extra shots, 0.882691, 7
3, H. Christ pal, 0.822694, 7
3, suntan lotion, 0.667024, 8
3, Strong daiquiris, 0.660767, 8
3, pretty nice buzz, 0.884986, 9
4, meeeh Mandalay Bay, 0.838055, 0
4, liquid cotton candy, 0.834087, 0
4, alcohol snob, 0.743231, 1
4, fruit flavor fool, 0.813671, 2
4, margarita drink, 0.739911, 2
4, half pink/half blue, 0.840557, 3
4, foot long straws, 0.837144, 3
4, drinks, 0.791861, 4
4, penny slots, 0.866737, 6
4, cotton candy vodka, 0.840302, 6
4, colorful daiquiri glasses, 0.924138, 7
4, big ass drank, 0.855787, 7
4, best frozen drink, 0.83669, 8
4, tasty frozen goodness, 0.812865, 8
4, free premium shot, 0.837132, 9
4, warm Vegas sun, 0.829167, 9
5, COCO LOCO ROXXXX, 0.607651, 0
5, double-shot frozen goodness, 0.585464, 0
5, Luxor Call Girlz, 0.556094, 1
5, liver damage, 0.447007, 1
5, bomb slushy drink, 0.598892, 2
5, slushy drinks, 0.550271, 2
5, extra shots, 0.880883, 3
5, Luxor area, 0.553637, 3
5, refill price, 0.459822, 4
5, coco loco, 0.923121, 5
5, drinks, 0.817143, 5
5, Luxor lobby, 0.544296, 6
5, strawberry rum, 0.481943, 6
5, big drink, 0.60768, 7
5, taste buds, 0.444041, 7
5, coconut rum, 0.764506, 8
5, pure refillable goodness, 0.617877, 8
5, Yummm yumm yumm, 0.563506, 9
5, warm summer nights, 0.559262, 9
