rating, keyword, relevance, bucket
1, small change request, 0.891171, 0
1, overpriced drinks, 0.725108, 0
1, Bad customer service, 0.885773, 1
1, exact drink, 0.656455, 1
1, gift cards, 0.920836, 2
1, Mirage location, 0.892688, 2
1, super custom drink, 0.851386, 3
1, technical difficulties, 0.689859, 3
1, starbucks giftcards, 0.840832, 6
1, strip, 0.446895, 6
1, grande caramel macchiato, 0.871295, 7
1, extra caramel, 0.656667, 7
1, New York New, 0.819031, 8
2, regular Starbucks, 0.773344, 0
2, extra bold coffee, 0.691703, 0
2, real Starbucks, 0.769171, 1
2, good Caramel Macchiato, 0.722544, 1
2, Starbucks, 0.96733, 2
2, Starbucks gift cards, 0.935151, 2
2, 2-5pm BOGO, 0.547295, 3
2, service, 0.349026, 3
2, act, 0.342105, 6
3, gold card member, 0.434101, 0
3, small cafe tables, 0.402637, 0
3, Las Vegas, 0.227036, 1
3, local ones, 0.209293, 1
3, different Starbucks, 0.588357, 2
3, standard order, 0.235914, 2
3, location many times, 0.220277, 3
3, coffee maker, 0.213285, 3
3, Starbucks, 0.924203, 4
3, excalibur hotel, 0.703248, 5
3, Starbucks application feature, 0.685813, 6
3, grande decaf americano, 0.460723, 6
3, long wait, 0.22456, 7
3, free drinks, 0.222496, 7
3, cinnamon roll, 0.759018, 8
3, lemon loaf, 0.502997, 8
4, slight vanilla flavoring, 0.742495, 0
4, marshmallow bar, 0.580271, 0
4, iced pound cake, 0.735142, 1
4, melts, 0.449661, 1
4, gift cards, 0.588019, 2
4, price hike, 0.586151, 2
4, Starbucks coffee, 0.91464, 3
4, coffee maker, 0.596783, 3
4, Starbucks, 0.921448, 4
4, Vegas, 0.503184, 4
4, food court, 0.603205, 6
4, upcoming night, 0.601351, 6
4, product, 0.433508, 7
4, Great atmosphere, 0.576717, 8
4, Thai tea, 0.576593, 8
