rating, keyword, relevance, bucket
1, local team game, 0.872123, 0
1, clueless female manager, 0.859404, 0
1, basic bar fodder, 0.891307, 1
1, mediocre bar food, 0.887056, 1
1, bar, 0.998026, 2
1, waitress, 0.942085, 2
1, bar several feet, 0.821437, 3
1, drink refills, 0.795837, 3
1, place, 0.895251, 4
1, Padre Murphy, 0.874421, 4
1, classic mirepoix, 0.801035, 6
1, carrot garnish, 0.799807, 6
1, noon service staff, 0.878453, 7
1, professional service, 0.793549, 7
1, Tuesday Blues Night, 0.862547, 8
1, trust fund, 0.80363, 8
2, better happy hour., 0.918403, 0
2, way cheaper food, 0.873601, 0
2, bar, 0.761487, 1
2, michelob ultra, 0.735927, 1
2, Large icy pitchers, 0.821371, 2
2, HUGE Stoli bomber, 0.814089, 2
2, dog food mind, 0.830988, 3
2, weird tasting, 0.824217, 3
2, place, 0.888413, 5
2, beer selection, 0.922244, 6
2, Monte Cristo Sandwich, 0.808466, 6
2, drink specials, 0.829147, 7
2, better drink specials, 0.808025, 7
2, better beer selection, 0.84642, 8
2, better food, 0.767108, 8
2, Sunday games, 0.718884, 9
3, track betting, 0.616465, 0
3, Padre Murphys experience, 0.613537, 0
3, local sports bar, 0.661516, 1
3, Sports Bar Oasis, 0.641015, 1
3, sports bar type, 0.649302, 2
3, Flat-iron steak roomie, 0.62117, 2
3, dated sports bar, 0.644222, 3
3, dividend airline miles, 0.611619, 3
3, Padre Murphy, 0.820303, 4
3, good old bar, 0.64777, 4
3, sports bar, 0.963956, 5
3, food, 0.653343, 5
3, impromptu business meetings, 0.602319, 6
3, good middle point, 0.649487, 7
3, pretty cool place, 0.643456, 7
3, pretty decent place, 0.638686, 8
3, pretty decent beer, 0.633323, 8
3, huge outdoor patio, 0.612893, 9
4, Nice sports bar, 0.649632, 0
4, track betting, 0.604475, 0
4, average bar food, 0.627488, 1
4, bad place, 0.540935, 1
4, smaller chicken wings, 0.616925, 2
4, favorite wings, 0.527367, 2
4, Pig BBQ Wings, 0.607601, 3
4, average food, 0.555159, 3
4, food, 0.783948, 5
4, sports bar, 0.67136, 5
4, great food experience, 0.628901, 6
4, Friday fish fry, 0.601329, 6
4, great place, 0.914771, 7
4, best pub option, 0.580909, 7
4, place good food, 0.728851, 8
4, great beer selection, 0.615435, 8
4, good Irish food, 0.642469, 9
4, Bustling local watering, 0.594374, 9
5, corned beef sandwich, 0.636206, 0
5, good sports bar, 0.609107, 0
5, good deserts, 0.398668, 1
5, good ones, 0.395385, 1
5, sports bar, 0.775377, 2
5, boring corporate business, 0.623395, 2
5, devil chicken wings, 0.444556, 3
5, bad food, 0.37846, 3
5, Padre Murphy, 0.93152, 4
5, guitar instructor hosts, 0.452691, 6
5, off-track betting, 0.398211, 6
5, entire parking, 0.480466, 7
5, track betting, 0.479338, 7
5, Generous servings, 0.509887, 8
5, good prices, 0.476956, 8
5, great entertainment, 0.389194, 9
