rating, keyword, relevance, bucket
1, locals, 0.984192, 0
1, prositutes, 0.677876, 0
1, cops, 0.847118, 1
1, family, 0.643842, 1
2, small drink, 0.737607, 0
2, bartender, 0.233991, 0
2, little sit-down, 0.799577, 1
2, little cocktail, 0.783263, 1
2, Strip thing, 0.907127, 2
2, time, 0.471868, 2
2, Bellagio, 0.258135, 6
2, Fontana, 0.211071, 6
2, better service, 0.630782, 7
2, better lounges, 0.725178, 8
3, band playing, 0.759842, 0
3, Stars Max, 0.748262, 0
3, mediocre bars, 0.771271, 1
3, excitation, 0.571558, 1
3, NY NY hotel, 0.90079, 2
3, small bar, 0.77791, 2
3, Decent local band, 0.890237, 3
3, Thurs night, 0.779794, 3
3, Great place, 0.708719, 7
3, ambiance, 0.574174, 8
3, music, 0.545071, 8
4, Good bar, 0.561525, 0
4, swank curtains, 0.515706, 0
4, recent reviews, 0.514396, 1
4, closing bar, 0.530228, 2
4, bad way, 0.516303, 2
4, casino floor, 0.69946, 3
4, casino floor Susan, 0.632963, 3
4, blackjack hands, 0.50911, 4
4, place, 0.646574, 5
4, drinks, 0.448793, 5
4, Big Apple Bar, 0.933799, 6
4, blackjack machine, 0.705987, 6
4, favorite Vegas lounges, 0.691617, 7
4, hot chick, 0.538785, 7
4, New York, 0.777385, 8
4, good place, 0.552967, 8
4, New York New, 0.647224, 9
4, great place, 0.501622, 9
5, chessy cover band, 0.985579, 0
5, Great bar, 0.796563, 0
