rating, keyword, relevance, bucket
1, WORST strip club, 0.837305, 0
1, overpriced Bourbon Street, 0.811306, 0
1, strip club, 0.917111, 1
1, little weight gain, 0.824077, 1
1, worst line, 0.734983, 2
1, Bandaids experience, 0.726397, 2
1, dress code, 0.929559, 3
1, girls, 0.814849, 3
1, exhibiting-gymnast calibre pole, 0.787798, 6
1, hottest girl, 0.716166, 6
1, York City bouncer, 0.81493, 7
1, varied curve-tastic shape, 0.792968, 7
1, better talent, 0.722454, 8
1, good measure, 0.710681, 8
2, moderately scary dive, 0.887803, 0
2, high drink prices, 0.871443, 0
2, ugly boobs, 0.943686, 1
2, Blonde bartender cutest, 0.876182, 1
2, dank strip club, 0.869914, 2
2, ugly words, 0.769509, 2
2, Ramada Inn, 0.758513, 3
2, special services, 0.755343, 3
2, laughter, 0.662689, 4
2, Kinda disturbing, 0.772444, 6
2, pregnant ladies, 0.752774, 6
2, surprised look, 0.759059, 7
2, extra star, 0.748183, 7
2, Wednesday afternoon, 0.771585, 8
2, amazing comedy, 0.748371, 8
3, Ok drink prices, 0.985596, 0
3, ghetto strip club, 0.97959, 0
3, bigger main stage, 0.904035, 2
3, strip bar, 0.764325, 2
3, low overhead, 0.684173, 3
3, bandaid, 0.486961, 3
3, positive cash flow, 0.905701, 6
3, Dj, 0.449195, 6
3, cocktail waitress Heather, 0.991118, 8
3, local talent, 0.681866, 8
3, MMMM MMMM, 0.943347, 9
4, small boobs, 0.540727, 0
4, Big boobs, 0.540247, 0
4, chill place, 0.487868, 1
4, reviewers report, 0.46645, 1
4, titty bar entertaining, 0.60219, 2
4, fake boobs, 0.573266, 2
4, wrecking ball booties, 0.623435, 3
4, perfect bodies, 0.472228, 3
4, girls, 0.620472, 4
4, women, 0.388206, 4
4, bandaids, 0.917604, 5
4, Dottsy, 0.358029, 5
4, imagination, 0.375665, 6
4, boobage, 0.368407, 6
4, strip club, 0.778855, 7
4, quick bag check, 0.657083, 7
4, slight hope, 0.493985, 8
4, private dance, 0.488422, 8
5, inevitable Spidey exit, 0.830365, 0
5, gold crown deodorizers, 0.81793, 0
5, unsolicited astonishment, 0.729157, 1
5, unintentional comedy, 0.725848, 1
5, strip clubs, 0.804832, 2
5, primer-gray Chevy Blazer, 0.793798, 2
5, Bandaids story, 0.837865, 3
5, stop stripper establishments, 0.799386, 3
5, Bandaids, 0.91727, 5
5, old Washington Bullets, 0.799078, 6
5, course velcro sneakers, 0.781719, 6
5, bistro style table, 0.799449, 7
5, sweet gold grill, 0.792211, 7
5, sneak premier, 0.720216, 8
5, sweetest guy, 0.704615, 8
