rating, keyword, relevance, bucket
3, poker rooms, 0.699749, 0
3, Hard Rock, 0.67377, 0
3, Tournament structure suffers, 0.90707, 1
3, Cheap playing cards, 0.902737, 2
3, levels, 0.468901, 2
3, inexperienced players, 0.73151, 3
3, reasonable quality cards, 0.865703, 7
3, Pros, 0.492714, 7
3, Comfortable chairs, 0.765651, 8
3, Decor, 0.475793, 8
4, dead tables, 0.731523, 0
4, felt quality, 0.72831, 0
4, promotional felts, 0.727041, 2
4, trash talk, 0.725129, 3
4, parking garage, 0.74903, 6
4, great community feedback, 0.943774, 7
4, involvement, 0.472254, 7
4, great job, 0.690576, 8
4, decor, 0.477668, 8
4, regular hangout, 0.815276, 9
4, place, 0.473588, 9
