rating, keyword, relevance, bucket
1, Los Dos Molinos, 0.594884, 0
1, city Mexican restaurant, 0.58275, 0
1, actual food, 0.533329, 1
1, good food, 0.532688, 1
1, large group, 0.811568, 2
1, people, 0.753899, 2
1, service, 0.714436, 3
1, table, 0.646148, 3
1, food, 0.972643, 4
1, bartender, 0.577069, 4
1, group, 0.815331, 5
1, place, 0.773319, 5
1, Blue Adobe Grill, 0.805269, 6
1, New Mexico, 0.794883, 6
1, authentic New Mexico, 0.590599, 7
1, Dianna, 0.559743, 7
1, tons better places, 0.588601, 8
1, pork avodovo plate, 0.581148, 8
2, Blue Adobe Grille, 0.892821, 0
2, good New Mexican, 0.808975, 0
2, great reviews, 0.75647, 2
2, Santa Fe concept, 0.74008, 2
2, Blue Adobe, 0.93297, 3
2, red sauce, 0.850206, 3
2, place, 0.806226, 4
2, salsa, 0.725338, 4
2, New Mexican food, 0.980637, 5
2, service, 0.823335, 5
2, carne adovada, 0.859309, 6
2, old family recipe, 0.749011, 6
2, blue seafood enchilada, 0.786596, 7
2, good reviews, 0.771458, 7
2, chicken quesadilla, 0.782346, 8
2, cheese crisp, 0.760363, 8
2, check-in free guacamole, 0.741612, 9
2, Great flavor, 0.704782, 9
3, shredded beef enchiladas, 0.377578, 0
3, Style Mexican Food, 0.362737, 0
3, New Mex shit, 0.306557, 1
3, embarrassingly terrible service, 0.302417, 1
3, ole Mexican food, 0.366159, 2
3, New Mexico food, 0.347534, 2
3, Mexican food kick, 0.371287, 3
3, Mesa Arts Center, 0.365606, 3
3, time, 0.397432, 4
3, service, 0.375461, 4
3, mexican food, 0.65433, 5
3, salsa, 0.410496, 5
3, Blue Adobe, 0.942065, 6
3, place, 0.50585, 6
3, Blue Adobe Grille, 0.625622, 7
3, new mexican cuisine, 0.516987, 7
3, new mexican, 0.748571, 8
3, New Mexican food, 0.500609, 8
4, Mexican food place, 0.545184, 0
4, Mexican food captain, 0.540889, 0
4, mexican food appreciator, 0.514907, 1
4, mexican food snob, 0.514521, 1
4, good salsa, 0.512244, 2
4, blue adobe grille, 0.76062, 3
4, blue adobe, 0.938054, 4
4, blue seafood enchiladas, 0.608631, 4
4, mexican food, 0.85209, 5
4, new mexican food, 0.765182, 5
4, new mexico style, 0.589581, 6
4, red sauce, 0.589388, 6
4, green chile lobster, 0.552523, 7
4, chile lobster dip, 0.548121, 7
4, good Mexican food, 0.558447, 8
4, chipotle salsa, 0.551176, 8
4, new mexican cuisine, 0.548288, 9
4, offering New Mexican, 0.512471, 9
5, average Mexican food, 0.387232, 0
5, Mexican food joint, 0.360307, 0
5, carne adovada, 0.71227, 4
5, Blue Adobe, 0.96341, 5
5, place, 0.658942, 5
5, food, 0.860422, 6
5, New Mexican, 0.802166, 6
5, New Mexico, 0.52385, 7
5, Blue Adobe Grille, 0.453523, 7
5, great food, 0.463271, 8
5, great new mexican, 0.429334, 8
5, Mexican food place, 0.406056, 9
5, excellent food, 0.352311, 9
