rating, keyword, relevance, bucket
4, Apache Junction, 0.786539, 0
4, good places, 0.650118, 0
4, times, 0.364318, 1
4, aj, 0.59349, 2
4, stop, 0.388196, 2
4, cheap beer, 0.712648, 3
4, good food, 0.61, 3
4, Cool bartenders, 0.768547, 7
4, karaoke, 0.419597, 7
4, Pleasant waitress prices, 0.926056, 9
4, great food, 0.608451, 9
5, Saturdays Mag, 0.670798, 0
5, dog run, 0.619843, 0
5, wee, 0.379574, 2
5, night, 0.354504, 2
5, home, 0.385207, 3
5, latitude, 0.377239, 3
5, best fish, 0.657794, 6
5, Bottoms, 0.388184, 6
5, good family environment, 0.895351, 7
5, great thear, 0.629302, 7
5, Fresh hot fish, 0.99264, 8
5, Zane our waitress, 0.764634, 8
5, great bar atmosphere, 0.942367, 9
5, James Great atmosphere, 0.920437, 9
