rating, keyword, relevance, bucket
2, perk, 0.621385, 0
2, beer, 0.514976, 0
2, Service, 0.514612, 1
2, food, 0.514121, 1
2, drinks, 0.752919, 6
2, McDs, 0.633165, 7
2, dining, 0.543645, 7
2, Edgewater Pier, 0.952736, 8
2, feelings, 0.589993, 8
3, fish sandwich, 0.676916, 0
3, hovers, 0.337436, 0
3, complaints, 0.381949, 2
3, low 80s, 0.54619, 4
3, sunset, 0.370184, 4
3, bbq chicken sandwich, 0.975777, 6
3, nice guitar singer, 0.798389, 6
3, nice impact, 0.587815, 7
3, hidden gem, 0.585644, 7
3, staff, 0.335497, 9
