rating, keyword, relevance, bucket
1, kinda small club, 0.945369, 0
1, drunk person cigarette, 0.91873, 0
1, anti-gay male discrimination, 0.900524, 1
1, ATM machine, 0.764282, 1
1, Bon Jovi song, 0.883969, 2
1, expensive Tokyo Tea, 0.861165, 2
1, (private parties?, 0.940003, 3
1, small place, 0.790242, 3
1, music, 0.69595, 4
1, VIP rooms, 0.791312, 6
1, Tangerine Lounge, 0.785889, 6
1, Tangerine hostesses, 0.805567, 7
1, free tix, 0.76858, 7
1, Bachelorette party, 0.772689, 8
1, real fun, 0.755067, 8
2, guest list, 0.708146, 0
2, older folks, 0.707168, 0
2, short bar, 0.672878, 1
2, club, 0.581544, 1
2, big fan, 0.893716, 2
2, good scene, 0.707291, 2
2, sheer crowding, 0.723925, 3
2, dance floor, 0.693119, 3
2, Tangerine, 0.564734, 4
2, line, 0.512028, 4
2, songs, 0.567256, 5
2, Social House upstairs, 0.910769, 6
2, premixed daquiris, 0.729311, 6
2, kind, 0.521892, 7
2, angle, 0.456521, 7
2, pretty spectacular view, 0.977448, 8
2, Winamp extension, 0.712256, 8
3, orange shower curtain., 0.860953, 0
3, old school songs, 0.811204, 0
3, little things, 0.88069, 1
3, little burlesque type, 0.842497, 1
3, night club, 0.782765, 2
3, ok ppl, 0.750475, 2
3, Extremely pricey drinks, 0.846398, 3
3, scantly clad female, 0.809965, 3
3, Tangerine, 0.948396, 4
3, club, 0.920563, 4
3, place, 0.895616, 5
3, night, 0.896148, 6
3, Treasure Island, 0.855545, 6
3, upstairs Social House, 0.831944, 7
3, free passes, 0.831823, 7
3, nice space, 0.76383, 8
3, Good Ambiance, 0.755733, 8
3, VIP lounge area, 0.826513, 9
3, cool views, 0.746712, 9
4, open dance floor, 0.578925, 0
4, -A solo burlesque, 0.561353, 0
4, hip hop, 0.603596, 1
4, wierd live music, 0.588472, 1
4, big clubs, 0.560231, 3
4, cute little mini, 0.551453, 3
4, Social House, 0.63234, 4
4, live music, 0.592677, 4
4, place, 0.842552, 5
4, music, 0.817729, 5
4, Vegas, 0.62952, 6
4, night, 0.604062, 6
4, Treasure Island, 0.996692, 7
4, Tangerine, 0.581009, 7
4, fun, 0.604598, 8
4, great dance party, 0.575681, 8
4, pretty good crowd, 0.597596, 9
4, nice place, 0.547014, 9
5, skimpy tangerine outfits, 0.667356, 0
5, nice lounge., 0.519964, 0
5, good music hip, 0.622023, 2
5, dance new school, 0.621572, 2
5, long lines, 0.475815, 3
5, drinks, 0.356864, 5
5, VP, 0.342406, 6
5, Treasure Island, 0.901725, 7
5, Favorite hot spot, 0.608511, 7
5, Bottle service, 0.491729, 8
5, past NYEve, 0.491303, 8
5, great experience partying, 0.720689, 9
5, heat lamps, 0.466322, 9
