rating, keyword, relevance, bucket
1, cheapest lousiest Vodka, 0.834429, 0
1, worst cocktails, 0.677519, 0
1, main bar area, 0.658195, 1
1, wine bar, 0.652937, 1
1, glass, 0.690158, 2
1, art work, 0.659957, 2
1, dining room, 0.741287, 3
1, White Russian, 0.678795, 3
1, service, 0.833041, 4
1, server, 0.680175, 4
1, wine, 0.988665, 5
1, place, 0.69235, 5
1, cocktail recommendations, 0.667284, 6
1, Old Vine Red, 0.641705, 6
1, Saturday evening, 0.662229, 7
1, good drink service, 0.658253, 7
1, espresso Martinis, 0.68442, 8
1, customer service, 0.650825, 8
1, wine selections, 0.60456, 9
2, grilled cheese sandwich, 0.531282, 0
2, chicken pot pie, 0.520551, 0
2, good faith adjustment, 0.540796, 1
2, noise level, 0.537193, 1
2, wine bar, 0.645102, 2
2, waitress, 0.620267, 2
2, great patio yada, 0.606187, 3
2, eye contact, 0.564234, 3
2, wine, 0.989103, 4
2, food, 0.880004, 4
2, osso bucco, 0.817164, 5
2, place, 0.651983, 5
2, fried pickles, 0.637754, 6
2, wine list, 0.586151, 6
2, lit coffee shop, 0.542061, 7
2, ceiling dining room, 0.532265, 7
2, great wine specials, 0.575027, 8
2, pork Osso Bucco, 0.569995, 8
3, wine bar, 0.707707, 0
3, good draft, 0.683842, 0
3, chicken salad sandwich, 0.696534, 2
3, food menu, 0.683874, 2
3, food order, 0.704879, 3
3, place, 0.855746, 4
3, white sangria, 0.756034, 4
3, food, 0.958325, 5
3, fried pickles, 0.798063, 5
3, wine, 0.981982, 6
3, butternut squash soup, 0.791967, 6
3, live music, 0.849069, 7
3, good wine selection, 0.825047, 7
3, great place, 0.778852, 8
3, good food, 0.743862, 8
3, red wine sauce, 0.71009, 9
4, trendy wine bar, 0.517716, 3
4, brie, 0.57422, 4
4, chicken, 0.540852, 4
4, wine, 0.905745, 5
4, fig jam, 0.710693, 5
4, place, 0.734199, 6
4, menu, 0.554738, 6
4, old town, 0.688088, 7
4, good food, 0.601557, 7
4, good wine place, 0.59037, 8
4, great place, 0.57585, 8
4, good place, 0.55401, 9
4, pretty good place, 0.538219, 9
5, wine bar food, 0.539356, 0
5, wine bar., 0.502947, 0
5, vanilla ice cream, 0.494051, 2
5, chicken salad, 0.491209, 4
5, wine, 0.91424, 5
5, food, 0.730679, 5
5, place, 0.732143, 6
5, bruschetta, 0.663268, 6
5, butternut squash soup, 0.731664, 7
5, wine list, 0.573115, 7
5, old town, 0.648688, 8
5, wine burger, 0.612226, 8
5, Good wine, 0.525814, 9
5, great place, 0.518188, 9
