rating, keyword, relevance, bucket
1, fact room temperature, 0.795532, 0
1, Monday night, 0.639914, 0
1, tasteless chips, 0.631716, 1
1, bartender, 0.466821, 1
1, daft hostess, 0.658568, 2
1, fatty bacon, 0.625377, 2
1, meals, 0.905938, 3
1, dining area, 0.606005, 3
1, wait staff, 0.611222, 4
1, warm haven, 0.616537, 7
1, cold night, 0.587943, 7
1, burger, 0.51027, 8
2, true hand, 0.771079, 0
2, ale, 0.50812, 0
2, Auld Reekie, 0.935719, 3
2, Harviestoun Bitter, 0.844263, 3
2, better pubs, 0.916272, 6
2, keg, 0.540514, 6
3, secret accordion man, 0.894647, 0
3, Bien située dans, 0.79217, 0
3, ladies, 0.436323, 1
3, shy smirk, 0.668845, 2
3, crowd, 0.45243, 2
3, Average prices, 0.672292, 3
3, heaps, 0.463871, 3
3, Havana, 0.521249, 4
3, secret accordion, 0.902062, 6
3, secret accordion players, 0.899814, 6
3, secret fantasy, 0.658937, 7
3, men, 0.462433, 7
3, accordion dude, 0.750255, 8
3, fantastic idea, 0.612592, 9
4, trip, 0.632986, 0
4, macaroni, 0.780987, 1
4, tomatoes, 0.640408, 1
4, Scotland, 0.635958, 2
4, half stars, 0.912153, 3
5, Fiddlers Arm, 0.783545, 0
5, drunk people, 0.713402, 0
5, bars, 0.481034, 1
5, area, 0.455929, 1
5, traditional folk music, 0.955271, 7
5, Friday night, 0.792648, 7
5, Great atmosphere, 0.725851, 8
5, great price, 0.693689, 8
5, best guiness pours, 0.916871, 9
