rating, keyword, relevance, bucket
2, awful condition, 0.547481, 0
2, sanitation score, 0.543412, 0
2, porcelin goddess, 0.537131, 1
2, coke, 0.40967, 1
2, average sports bar, 0.71786, 2
2, great people person, 0.746438, 3
2, bartender, 0.383583, 3
2, London Broil Sandwich, 0.928043, 8
2, delicious Hawaiian maranaid, 0.79944, 8
3, OK place, 0.999014, 6
3, Fun food, 0.802963, 8
4, yay Fat Tire, 0.953241, 0
4, previous comments, 0.761183, 0
4, couple bad things, 0.894066, 1
4, little left, 0.737122, 1
4, closest decent bar, 0.997151, 2
4, hot date, 0.724207, 2
4, sports bar, 0.915524, 3
4, cheap beer, 0.737794, 3
4, sports bars, 0.752276, 4
4, menu, 0.587345, 4
4, food, 0.748598, 6
4, great service, 0.717292, 6
4, great pool tables, 0.974109, 7
4, great beer selection, 0.943218, 7
4, great place, 0.929001, 8
4, good regular hangout, 0.91694, 8
4, basic bar essentials, 0.912413, 9
4, games, 0.544752, 9
