rating,keyword,relevance,bucket
2, limited culinary training, 0.787937, 0
2, single beer, 0.691833, 0
2, multiple times, 0.671415, 1
2, worst service, 0.664277, 1
2, wonky tomato wedge, 0.791882, 2
2, occasional nights, 0.67826, 2
2, food, 0.961098, 3
2, best food, 0.701346, 3
2, drinks, 0.771659, 4
2, point, 0.700997, 4
2, time, 0.978843, 5
2, Applebee, 0.758626, 5
2, marinara sauce recipe, 0.812657, 6
2, French onion soup, 0.79414, 6
2, good tip, 0.648807, 7
2, customer service, 0.649402, 9
2, best thing, 0.647404, 9
3, Signature Sirloin, 0.878458, 0
3, Garlic Shrimp, 0.843652, 0
3, drinking my husbands, 0.852925, 1
3, water glass, 0.770264, 1
3, waitress, 0.672929, 2
3, almonds, 0.434991, 3
3, seasonal vegetables, 0.995474, 6
3, herbed potatoes, 0.886906, 6
3, Good food, 0.814733, 7
3, good service, 0.784356, 7
3, additional star, 0.814039, 8
3, meal, 0.417028, 8
3, quick bite, 0.87949, 9
3, Great place, 0.847304, 9
4, grilled chicken, 0.746561, 0
4, new fettichini, 0.683839, 0
4, waitress, 0.409967, 2
4, Alfredo sauce, 0.746473, 6
4, busy weekends, 0.680497, 6
4, particular dish, 0.722143, 7
4, food, 0.540438, 7
4, dining experience, 0.666195, 8
4, friendly man, 0.665679, 8
4, white queso dip, 0.973592, 9
4, someones birthday, 0.79571, 9
