rating, keyword, relevance, bucket
3, DELISH, 0.514615, 0
3, bartender, 0.467653, 3
3, dessert, 0.425212, 3
3, reasonable prices, 0.720711, 6
3, huge TV, 0.700041, 6
3, Piedmont Row, 0.814241, 7
3, circle, 0.361996, 7
3, great seating, 0.734039, 8
3, place, 0.361508, 8
3, sweet wine spot, 0.928897, 9
4, Spinach Club Wrap, 0.797324, 0
4, great thing, 0.658057, 0
4, chips, 0.472341, 1
4, cotton mouth, 0.611364, 2
4, usual hang, 0.593468, 2
4, wine room, 0.648987, 3
4, home.. ok, 0.633343, 3
4, nasty cigar smoking, 0.802645, 6
4, cigar place, 0.631078, 6
4, wine prices, 0.616212, 7
4, larger groups, 0.59446, 7
4, great place, 0.946935, 8
4, wait staff, 0.845967, 8
4, nice solid wine, 0.827051, 9
4, wonderful free stuff, 0.767461, 9
5, heartfelt email, 0.761177, 0
5, Jane McNeice, 0.732535, 0
5, business, 0.460355, 2
5, touch, 0.461012, 3
5, spectacular Ladies Night, 0.917542, 6
5, place, 0.776915, 6
5, live acoustic music, 0.972069, 7
5, winery establishment, 0.777721, 7
5, post meal drink, 0.960015, 8
5, special friends, 0.732627, 8
5, great place, 0.762165, 9
5, overwhelming support, 0.754749, 9
