rating, keyword, relevance, bucket
1, pornstar mustache proceeds, 0.534789, 0
1, video poker, 0.503054, 0
1, older guy, 0.912958, 1
1, Frankie Moreno event, 0.56207, 1
1, bar, 0.636178, 2
1, picky asshole, 0.360462, 2
1, younger guy, 0.773301, 3
1, bartender, 0.672778, 3
1, drinks, 0.733, 4
1, Long Island, 0.524038, 6
1, customer service, 0.486638, 6
1, good bartender, 0.442683, 7
4, post-NYE libations, 0.668385, 0
4, prior issues, 0.642316, 0
4, pop culture moment, 0.905984, 1
4, redeeming place, 0.675641, 1
4, small plastic cups, 0.884422, 2
4, Stratosphere hotel, 0.684564, 2
4, cold glasses, 0.667862, 3
4, service, 0.586585, 3
4, bar, 0.877766, 5
4, free nights, 0.683396, 6
4, subsequent nights, 0.642398, 6
4, draft beer, 0.879896, 7
4, bottomless margaritas, 0.769517, 7
4, free drink coupons, 0.966927, 8
4, Video Poker, 0.689936, 8
4, nice easy ramp, 0.919228, 9
4, wheelchair access, 0.674615, 9
5, couple vodka tonics, 0.997474, 0
5, video poker machines, 0.84616, 0
5, home base bar, 0.871617, 2
5, Stratosphere, 0.250275, 2
5, ash tray, 0.507712, 3
5, stool, 0.216876, 3
5, gracious bar tender, 0.922772, 6
