rating, keyword, relevance, bucket
3, cool cause, 0.942218, 0
3, regulars, 0.520843, 0
3, limited parking, 0.974899, 3
3, Cash Bash, 0.999753, 4
3, rockabilly band, 0.952282, 6
3, alot, 0.549872, 6
4, Sugar Creek Road, 0.892054, 0
4, knockout retro gear, 0.86479, 0
4, honky tonk bar, 0.967955, 1
4, little gem, 0.756375, 1
4, old pegleg standing, 0.857722, 2
4, Gary Puckett, 0.775649, 2
4, dusty NASCAR posters, 0.87275, 3
4, Carolina bars law, 0.854209, 3
4, dusty Rockabilly Theater, 0.899746, 6
4, Wide age range, 0.832884, 6
4, tightly cuffed jeans, 0.842391, 7
4, awesome events, 0.755555, 7
4, farm equipment sales, 0.888982, 8
4, repair shop, 0.756834, 8
5, Dollar Pistols, 0.610361, 0
5, Best bar, 0.536338, 0
5, Jack Daniels, 0.631283, 1
5, bottles, 0.281789, 1
5, long time, 0.597527, 2
5, wall bar, 0.53976, 2
5, drunk ass friends, 0.907014, 3
5, courage, 0.28712, 3
5, Puckett, 0.877783, 5
5, Plenty, 0.279152, 6
5, Raleigh, 0.26954, 6
5, Johnny Cash tunes, 0.891742, 7
5, John Howie, 0.604741, 7
5, great bar, 0.597278, 8
5, great time, 0.550865, 8
5, Fun night, 0.525062, 9
