rating,keyword,relevance,bucket
1, VEAL stock, 0.876214, 0
1, server, 0.553193, 0
1, terrible restaurant, 0.983481, 1
1, place ZERO, 0.970176, 1
1, waitress, 0.728479, 2
1, trashy, 0.471363, 2
1, pasta dish, 0.957956, 3
1, BEEF STOCK, 0.875436, 3
1, table, 0.432423, 6
1, lovely evening, 0.97428, 7
1, large party, 0.941848, 7
2, decent Yelp reviews, 0.948726, 0
2, romantic hot spot, 0.879375, 0
2, Mean Girls sort, 0.927053, 1
2, surprisingly sloppy pasta, 0.9256, 1
2, twee artsy-fartsy dessert, 0.959158, 2
2, interview process, 0.720199, 2
2, fake boobs, 0.769173, 3
2, accompaniments, 0.473272, 3
2, meal, 0.514557, 4
2, Barbie, 0.468857, 6
2, casual business meeting, 0.876634, 7
2, work cocktail, 0.663118, 7
2, nice looking place, 0.88641, 8
2, good number, 0.663311, 8
3, bit boogie, 0.806031, 0
3, lobster bisque, 0.775559, 0
3, tall blonde ones, 0.925197, 1
3, service, 0.652811, 1
3, out-of-town coworker, 0.773624, 2
3, *ahem* server, 0.772858, 2
3, bit, 0.813652, 3
3, long work, 0.750752, 3
3, romantic dinner, 0.766387, 4
3, Thursday night, 0.86135, 5
3, place, 0.762232, 5
3, pretty people, 0.801617, 6
3, pricey menu, 0.772674, 6
3, hazelnut bread pudding, 0.897298, 7
3, roasted coffee ice, 0.892642, 7
3, heirloom tomatoes, 0.923774, 8
3, buffala mozzarella, 0.780138, 8
4, Amy Winehouse music, 0.733848, 0
4, Braised Veal cheaks, 0.73233, 0
4, Thursday night parties, 0.748941, 2
4, hot peppers, 0.715238, 2
4, raw fish dishes, 0.71528, 3
4, Hervé Léger dress, 0.713913, 3
4, old italian men, 0.72413, 4
4, cavalli, 0.806636, 5
4, Thursday night, 0.777823, 5
4, bread pudding, 0.980308, 6
4, food, 0.843267, 6
4, brioche bread pudding, 0.78945, 7
4, best bread pudding, 0.779772, 7
4, distinct background music, 0.74491, 8
4, cool lounge music, 0.738621, 8
4, tall glass doors, 0.729566, 9
4, fillet yum yum, 0.713525, 9
5, nice chain restaurant, 0.768808, 0
5, style dining establishment, 0.763312, 0
5, indulgent dinner feast, 0.770075, 1
5, Thursday night, 0.786734, 2
5, good looking people, 0.779233, 2
5, good measure, 0.644725, 3
5, downtown area, 0.63393, 3
5, place, 0.653474, 6
5, recent visit, 0.642258, 6
5, Saturday night dinner, 0.904904, 7
5, supper club kinda, 0.759542, 7
5, Thursday nights, 0.765141, 8
5, Amazing food, 0.672171, 8
5, latest attire purchases, 0.739936, 9
5, wonderful friendly service, 0.730374, 9
