rating,keyword,relevance,bucket
1, lesser rating, 0.708487, 0
1, previous trips, 0.669609, 0
1, yelp, 0.473213, 1
1, Boo, 0.465673, 1
1, review, 0.457285, 2
1, management/ownership, 0.457246, 2
1, drink orders, 0.924961, 3
1, phone emailing, 0.677767, 3
1, place, 0.728919, 4
1, customer service, 0.647981, 6
1, education, 0.450137, 6
2, bar-height 4-top table, 0.574051, 0
2, average wine drinkers, 0.573394, 0
2, low quality food, 0.56111, 1
2, mediocre service, 0.430037, 1
2, numerous wine bars, 0.602419, 2
2, olive oil, 0.551986, 2
2, food, 0.871717, 3
2, wine loft, 0.712327, 3
2, wine, 0.987048, 4
2, menu online, 0.635817, 5
2, place, 0.555687, 5
2, food menu, 0.569032, 6
2, wine pairings, 0.493683, 6
2, extensive by-the-glass selection, 0.56087, 7
2, gift card, 0.552237, 7
2, town business visitors, 0.526337, 8
2, funky club atmosphere, 0.515418, 8
2, good place, 0.466925, 9
2, after-work drinks, 0.444981, 9
3, little wine spot, 0.691671, 0
3, couple artisan cheese, 0.65114, 0
3, yada yada yada, 0.654281, 1
3, Wine pours, 0.626408, 2
3, Wine Loft, 0.833964, 3
3, trendy wine bar, 0.713266, 3
3, wine, 0.948689, 4
3, wine bar, 0.746989, 4
3, glass, 0.606391, 5
3, place, 0.74718, 6
3, die-hard wine community, 0.717585, 6
3, Nice wine bar, 0.719401, 7
3, wine list, 0.691546, 7
3, Good wine selection, 0.704209, 8
3, great time, 0.689529, 8
3, cheese plate, 0.642103, 9
3, nice seating, 0.611805, 9
4, Wine bar type, 0.477182, 0
4, un-assuming little place, 0.47096, 0
4, lit little place, 0.489831, 1
4, wine bottles, 0.462563, 1
4, Hidden wine bar, 0.478062, 2
4, Nice dark decor, 0.443616, 2
4, dessert wine options, 0.503588, 3
4, low key glass, 0.428139, 3
4, typically Charlotte place, 0.450139, 4
4, friends, 0.44328, 4
4, Wine Loft, 0.983145, 5
4, place, 0.758388, 5
4, cheese plate, 0.533823, 6
4, House wine, 0.429277, 6
4, wine bar, 0.680002, 7
4, half price bottles, 0.539397, 7
4, great place, 0.499373, 8
4, date night, 0.482678, 8
4, cozy wine bar, 0.503771, 9
4, great girls night, 0.470637, 9
5, long lost friend, 0.55739, 0
5, middle eastern feel, 0.55264, 0
5, double dates, 0.462447, 2
5, bar tenders, 0.460375, 2
5, place, 0.700534, 6
5, wife, 0.449816, 6
5, wine, 0.917435, 7
5, favorite wine bar, 0.625368, 7
5, decent wine selection, 0.807256, 8
5, Wine Loft, 0.741688, 8
5, great atmosphere, 0.633308, 9
5, great wine specials, 0.62003, 9
