rating, keyword, relevance, bucket
1, nochmals ewig, 0.881931, 0
1, schluss, 0.522059, 0
1, Schade fand, 0.965123, 3
1, letzte mal, 0.919084, 3
1, finde weil überall, 0.883508, 4
1, bekommen, 0.521475, 4
1, gebracht wurde obwohl, 0.921754, 5
1, spezielles bestellt, 0.912383, 5
2, fett, 0.873375, 4
2, essen, 0.82149, 4
2, angetan, 0.97173, 5
2, nix, 0.916723, 6
4, Update 11, 0.877558, 0
4, Update 10, 0.868388, 0
4, fad mehr pepp, 0.846815, 3
4, glücklich fand, 0.833468, 3
4, Euro recht teuer, 0.84944, 4
4, frisch aber geschmacklich, 0.849044, 4
4, mal begegnet frittiert, 0.985155, 5
4, nächste Mal probieren, 0.983339, 5
4, wunderbar draußen hinsetzen, 0.958469, 6
4, Getränkekarte sowohl alkoholisch, 0.933991, 6
4, Essen gefällt, 0.85981, 7
4, Frühstück versteht, 0.831293, 7
