rating, keyword, relevance, bucket
1, white bread, 0.996211, 0
1, burgers, 0.852126, 0
1, Service, 0.64441, 1
1, draft special, 0.994875, 3
1, buns, 0.868146, 3
1, music, 0.648181, 8
3, beer selections, 0.493094, 0
3, excellent variety, 0.459964, 0
3, Saturday afternoon, 0.480119, 1
3, beer fix, 0.471671, 1
3, douche bags, 0.464837, 2
3, short time, 0.460975, 2
3, late 30-something know-it-alls, 0.60876, 3
3, greasy bar food, 0.599021, 3
3, course, 0.35648, 5
3, early evening ales, 0.624126, 6
3, recent weekend trip, 0.567268, 6
3, Great draft selection, 0.587409, 7
3, good beer, 0.488844, 7
3, Great beer selection, 0.903435, 8
3, extensive beer list, 0.597068, 8
3, awesome night, 0.467512, 9
4, high end beer, 0.423291, 0
4, star beer place, 0.404858, 0
4, mean Bloody Mary, 0.340087, 1
4, beer bar law, 0.435598, 2
4, Nitro Special Bitter, 0.336439, 3
4, bar, 0.490702, 5
4, Carson Street, 0.404598, 5
4, beers, 0.423031, 6
4, Elysian Brewing Company, 0.333815, 6
4, Smokin, 0.510621, 7
4, great beer bar, 0.465888, 7
4, beer selection, 0.955981, 8
4, great beer selection, 0.794509, 8
4, Awesome beer selection, 0.460674, 9
4, excellent beer selection, 0.458255, 9
5, great bar food, 0.676639, 0
5, excellent beer selection, 0.623911, 0
5, Carson Street, 0.597448, 1
5, East Carson Street, 0.597211, 1
5, bar food, 0.677588, 2
5, crappy beer, 0.529725, 2
5, Massive beer selection, 0.617404, 3
5, upstairs bar, 0.608646, 3
5, Pens game, 0.570965, 5
5, place, 0.569598, 5
5, beer selection, 0.978648, 6
5, smaller tap selection, 0.606653, 6
5, wings, 0.64177, 7
5, attentive bar staff, 0.604281, 7
5, better beer selection, 0.684561, 8
5, Great beer selection, 0.648331, 8
5, nice cold beer, 0.607443, 9
5, Fantastic drink specials, 0.560062, 9
